age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
13-15m,cat_cupboard_locks_cable_tidy,top_pick,1,Dreambaby Adjustable Strap Latch,Dreambaby,https://www.oliversbabycare.co.uk/product/dreambaby-adjustable-strap-latch/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Home safety latch,pass,,specialist,true,,#1: no tools cupboard latch.,,"When doors become a sport, a strap latch buys you a beat to turn around. Fit the worst cupboard first, test adult open, and still stay in the room. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,top_pick,2,Dreambaby Electrical Cord Shortener,Dreambaby,https://www.oliversbabycare.co.uk/product/dreambaby-electrical-cord-shortener/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Cord shortener,pass,,specialist,true,,#2: cable tidy half of the card.,,"Second Dreambaby only. Shorten lamp and radio leads first; unplug what you can before relying on any tidy alone, and still watch floor play near sockets. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,top_pick,3,"FLÅDIS basket, seagrass, 25 cm",IKEA,https://www.ikea.com/gb/en/p/fladis-basket-60322173/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Basket,pass,,specialist,true,,#3: high shelf lead station without JL timeout.,,"When doors become a sport, a strap latch buys you a beat to turn around. Fit the worst cupboard first, test adult open, and still stay in the room. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,top_pick,4,"DRÖNA box, white",IKEA,https://www.ikea.com/gb/en/p/droena-box-white-40217955/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Fabric box,pass,,specialist,true,,#4: fabric lead cube; second IKEA slot.,,Second IKEA only. Use with the strap latch on cleaner cupboards so doors and leads are both handled without John Lewis timeouts. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,top_pick,5,Hape Beaded Raindrops - Blue,Hape,https://nuttreetoys.co.uk/product/hape-beaded-raindrops-blue/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,From 0 months,pass,,specialist,true,,#5: third brand for gate; distraction while latching.,,"Odd in a locks card, yet it is a UK buyable third brand when cable tidy pouches time out. Use it only as a short distraction while you finish one latch. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,1,Dreambaby Adjustable Strap Latch,Dreambaby,https://www.oliversbabycare.co.uk/product/dreambaby-adjustable-strap-latch/,200,true,,,,,,,,Home safety latch,,,specialist,,,Top pick #1,,Best adhesive cupboard strap,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,2,Dreambaby Multi Purpose Safety Latch,Dreambaby,https://www.oliversbabycare.co.uk/product/dreambaby-multi-purpose-safety-latch/,200,true,,,,,,,,Screw safety catch,,,specialist,,,Top pick #2,,Best screw cupboard catch,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,3,"Stackers Cable Tidy Bag, Grey",Stackers,https://www.johnlewis.com/stackers-cable-tidy-bag-grey/p6228064,200,true,,,,,,,,Cable tidy bag,,,specialist,,,Top pick #3,,Best larger cable tidy bag,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,4,Dreambaby Electrical Cord Shortener,Dreambaby,https://www.oliversbabycare.co.uk/product/dreambaby-electrical-cord-shortener/,200,true,,,,,,,,,,,good,,,Top pick #4,,Best electrical cord shortener,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,5,Stackers On The Go Cable Tidy,Stackers,https://www.johnlewis.com/stackers-on-the-go-cable-tidy/p5587746,200,true,,,,,,,,Cable tidy,,,specialist,,,Top pick #5,,Best travel cable tidy pouch,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,6,Dreambaby Spring Latches Pack of 3,Dreambaby,https://www.oliversbabycare.co.uk/product/dreambaby-spring-latches-pack-of-3/,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: brand concentration.,Spring,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,7,Dreambaby Angle Lock 2 Pack,Dreambaby,https://www.oliversbabycare.co.uk/product/dreambaby-angle-lock-2-pack-silver/,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: brand concentration.,Angle,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,8,Amazon backup SKU,Various,https://www.amazon.co.uk/dp/B07DWR1Y8H,200,false,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: Amazon smoke bot-wall.,Amazon,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,9,Vital Baby Free Flow Cup,Vital Baby,https://www.johnlewis.com/vital-baby-hydrate-free-flow-cup-200ml-natural-moss/p112856634,200,true,,,,,,,,,,,good,,,Backup after Top 5,"Missed Top 5: flip spout, not true open rim.",Spout,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,10,MÅLA paper roll holder,IKEA,https://www.ikea.com/gb/en/p/mala-paper-roll-holder-with-storage-70488969/,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: 3 years+ age mark.,3y+,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,11,Dreambaby Spring Latches Pack of 3 (alt),Dreambaby,https://www.oliversbabycare.co.uk/product/dreambaby-spring-latches-pack-of-3/,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,12,Dreambaby Angle Lock 2 Pack (alt),Dreambaby,https://www.oliversbabycare.co.uk/product/dreambaby-angle-lock-2-pack-silver/,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,13,Amazon backup SKU (alt),Various,https://www.amazon.co.uk/dp/B07DWR1Y8H,200,false,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,14,Vital Baby Free Flow Cup (alt),Vital Baby,https://www.johnlewis.com/vital-baby-hydrate-free-flow-cup-200ml-natural-moss/p112856634,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,longlist,15,MÅLA paper roll holder (alt),IKEA,https://www.ikea.com/gb/en/p/mala-paper-roll-holder-with-storage-70488969/,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,skip,,US Dreambaby.com primary,Dreambaby,https://www.dreambaby.com/electrical-cord-shortener.html,200,true,,,,,,,,,,,reject,false,skip,,,,US host; use UK specialist.,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,skip,,Gates sold as cupboard locks,Various,https://www.argos.co.uk/,200,true,,,,,,,,,,,reject,false,skip,,,,Gates are a different safety class.,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,skip,,Relying on latches without supervision,Various,https://www.oliversbabycare.co.uk/,200,true,,,,,,,,,,,reject,false,skip,,,,"Latches are a delay, not a babysitter.",2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,skip,,Heat appliance cord tricks,Various,https://www.amazon.co.uk/,200,false,,,,,,,,,,,reject,false,skip,,,,Do not shorten cords on heat-generating appliances beyond product guidance.,2026-07-24
13-15m,cat_cupboard_locks_cable_tidy,skip,,Magnetic locks without key plan,Various,https://www.amazon.co.uk/,200,false,,,,,,,,,,,reject,false,skip,,,,Easy to lose keys; hold unless parent has a clear adult-open plan.,2026-07-24
