age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
34-36m,cat_balance_stepping_stones,top_pick,1,Gonge River Stones (set of 6),Gonge,https://www.libertyhousetoys.com/gonge-river-stones,,false,true,,,,4.7,523,Amazon UK aggregated listing for Gonge 1137385 (same SKU),Ages 2-99 years (Liberty House Toys product page),pass,,strong,true,,"#1 over #2: three steepness settings and two stone sizes create richer rule-based paths than flat budget stones, which fits the nearly-three sequenced-movement brief better.",,"At nearly three, movement gets planned: step, pause, turn, rather than random crashing around the room. These stones let you invent little living-room routes with clear rules, so balance practice becomes a game you build together. That is why they suit step, pause and turn paths so well for this age.",,2026-07-23
34-36m,cat_balance_stepping_stones,top_pick,2,Tippi Sensory Stepping Stones,Tippi,https://www.amazon.co.uk/Tippi-Sensory-Stepping-Stones-Kids/dp/B0FCSQ9WKX,,false,true,,,,,,Amazon UK product page bot-blocked to automated fetch on 2026-07-22,Balance toys for children age 18 months + (Amazon UK listing title/spec),pass,,specialist,true,,"#2 over #3: much lower spend than Edx stumps while still clearing the 34, 36m age gate with 18m+, making it the honest budget path before premium or specialist kit.",,"Not every family wants premium stones on day one. Five textured pieces are enough for a short hallway route with pause points, so you can see whether path play sticks before spending more. That kinder first look is why this suits smaller budgets without cutting the balance skill short.",,2026-07-23
34-36m,cat_balance_stepping_stones,top_pick,3,Edx Nesting Balance Stumps (set of 6),Edx Education,https://www.thedyslexiashop.co.uk/products/step-a-stumps-6-piece-modular-balance-stepping-stones-for-sensory-play,,false,true,,,,,,No public review widget on Dyslexia Shop / Shopedx product pages,From 18 months upwards (The Dyslexia Shop listing copy),pass,,specialist,true,,#3 over #4: nesting carry-bag storage and ribbed sensory tops solve small-flat clutter better than three tall hilltops that eat floor space.,,"Hallways and small flats need kit that packs away. Nesting stump sizes still give a proper step-up path, then collapse into one stack with a carry bag so the living room is free again. That tidy pack away is why they suit small spaces while balance practice stays part of everyday play.",,2026-07-23
34-36m,cat_balance_stepping_stones,top_pick,4,Gonge Hilltops (set of 3),Gonge,https://www.libertyhousetoys.com/gonge-hilltops,,false,true,,,,,,Liberty House Toys shows 1 verified review on check date,Ages 2+ years (Liberty House Toys),pass,,specialist,true,,"#4 over #5: fixed height progression adds step-up/step-down sequencing that low beam sections cannot, while staying inside the not-daredevil brief.",,"Once flat paths are sorted, a little height makes the next step interesting without turning play into daredevil jumping. Three fixed levels invite step-up, pause and step-down, which matches the planned movement this age is growing into. That is why they suit height practice beside flatter stones you may already own.",,2026-07-23
34-36m,cat_balance_stepping_stones,top_pick,5,Edx Rope-Gap Stepping Stones,Edx Education,https://www.shopedx.co.uk/products/step-a-stones,,false,true,,,,,,Shopedx page has no public review widget; NAPPA award editorial for Step-a-Trail line,18 months+ (Shopedx product page),pass,,specialist,true,,#5: rope gaps add distance judgement without a second Step-A beam SKU that truncates into the same title as nesting stumps.,,"Distance judgement grows fast around this age: can they stretch to the next stone without rushing? Rope-linked gaps make that stretch visible and adjustable, so you can widen the challenge as confidence grows. That controlled reach is why they suit gap practice better than another set of freestanding stones.",,2026-07-23
34-36m,cat_balance_stepping_stones,longlist,1,Gonge River Stones (set of 6),Gonge,https://www.libertyhousetoys.com/gonge-river-stones,,,,,,,4.7,523,,Ages 2-99 years,,,strong,,,#1: best progressive rule-based path fit for nearly-three sequenced movement.,,Gold-standard reconfigurable path; three steepness sides per stone.,Premium; check pre-loved first.,2026-07-23
34-36m,cat_balance_stepping_stones,longlist,2,Tippi Sensory Stepping Stones,Tippi,https://www.amazon.co.uk/Tippi-Sensory-Stepping-Stones-Kids/dp/B0FCSQ9WKX,,,,,,,,,,18 months+,,,specialist,,,#2: clears 34–36m age gate where 3+ budget sets fail FF.,,Budget 18m+ starter with textured tops.,Confirm Amazon reviews on human click.,2026-07-23
34-36m,cat_balance_stepping_stones,longlist,3,Edx Nesting Balance Stumps (set of 6),Edx Education,https://www.thedyslexiashop.co.uk/products/step-a-stumps-6-piece-modular-balance-stepping-stones-for-sensory-play,,,,,,,,,,18 months+,,,specialist,,,#3: best small-space nesting plus sensory texture.,,Nesting stumps with ribbed sensory tops and carry bag.,Price varies between UK specialists.,2026-07-23
34-36m,cat_balance_stepping_stones,longlist,4,Gonge Hilltops (set of 3),Gonge,https://www.libertyhousetoys.com/gonge-hilltops,,,,,,,,,,Ages 2+ years,,,specialist,,,#4: height sequencing distinct from flat stones.,,"Three fixed heights for step-up, pause, step-down sequences.",Only three pieces; thin UK review count.,2026-07-23
34-36m,cat_balance_stepping_stones,longlist,9,Edx Education Step-A-Trails (set of 6),Edx Education,https://www.shopedx.co.uk/products/step-a-trails,,,,,,,,,,18 months+,,,specialist,,,#5: beam-walk pattern distinct from stone hopping.,Second Edx Step-A line beside nesting stumps looked like a duplicate Top 5 card after title truncation; demoted after founder review.,Low balance-beam path sections for walk-and-pause rules.,Expensive; less jump appeal.,2026-07-23
34-36m,cat_balance_stepping_stones,longlist,6,National Geographic Stepping Stones 6-pack with spinner,National Geographic,https://www.amazon.co.uk/NATIONAL-GEOGRAPHIC-Durable-Non-Slip-Stepping/dp/B0C95HPFHM,,,,,,,4.6,1437,,Ages 3+ years,,,strong,,,#6: popular budget line with good review depth on Amazon UK.,"Live mark is Ages 3+ only, which FF rejects for 34–36m because band min is 34 months — kept as backup once child is firmly 36m+.",Strong Amazon review volume and spinner for colour rules.,3+ age mark — not Top 5 for this band.,2026-07-23
34-36m,cat_balance_stepping_stones,longlist,7,National Geographic Stepping Stones 10-pack,National Geographic,https://www.amazon.co.uk/NATIONAL-GEOGRAPHIC-Stepping-Stones-Durable-Non-Slip/dp/B0C95JJC33,,,,,,,4.6,1569,,Ages 3+ years,,,good,,,#7: same line as 6-pack with more pieces for longer paths.,Same 3+ age-gate conflict as the 6-pack; useful backup when child is 36m+ and you need more pieces.,More stones for longer hallway paths.,3+ mark; low profile like 6-pack.,2026-07-23
34-36m,cat_balance_stepping_stones,longlist,8,Toyrific Stepping Stones Balance Game (8-pack),Toyrific,https://www.toyrific.co.uk/products/stepping-stones-balancing-game,,,,,,,,,,Recommended Age 3+,,,good,,,#8: award-backed mid-budget option when in stock.,Sold out on primary retailer on check date and 3+ mark fails 34–36m FF age overlap — monitor stock before substituting.,MadeForMums Award 2025; eight stones plus spinner.,Sold out on check date.,2026-07-23
34-36m,cat_balance_stepping_stones,longlist,5,Edx Rope-Gap Stepping Stones,Edx Education,https://www.shopedx.co.uk/products/step-a-stones,,,,,,,,,,18 months+,,,good,,,#5: rope-gap distance practice without a second Step-A beam title.,,Adjustable rope gaps teach step-and-reach distance judgement.,Rope gaps need adult setup each time.,2026-07-23
