age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
25-27m,cat_step_stool,top_pick,1,BabyBjörn Step Stool,BabyBjörn,https://www.babybjorn.co.uk/products/bathroom/step-stool/,200,true,true,buyable,true,,,,,No fixed start age; designed for toddlers learning sink and toilet reach with supervision,pass,,specialist,true,,"#1 over #2: brand-direct UK page buyable today, full non-slip top for wet feet, and height stays low for this band.",,"I want to do it myself peaks hard just past two: handwashing and toothbrush jobs they insist on owning. A low, grippy step reaches the basin without a tall learning tower. Steady daily help at the sink when they want to climb up and join in.",,2026-07-24
25-27m,cat_step_stool,top_pick,2,FÖRSIKTIG children's stool,IKEA,https://www.ikea.com/gb/en/p/foersiktig-childrens-stool-white-turquoise-10591318/,200,true,true,buyable,true,,4.8,213,IKEA UK reviewCount 213,Children’s stool; no fixed start age on listing,pass,,strong,true,,#2 over #3: 213+ IKEA UK reviews and a five-pound price while staying low for just past two.,,Not every first step needs a premium brand once they want to wash hands alone. Wide base and low height still cover sink and toilet jobs. A simple spare for bathroom or kitchen when you want a second step upstairs.,,2026-07-24
25-27m,cat_step_stool,top_pick,3,Bumbo Step 'n' Potty,Bumbo,https://www.boots.com/bumbo-step-n-potty,200,true,true,buyable,true,,4.6,80,Boots/editorial aggregates,Toddler step and potty trainer; supervise climbing,pass,,good,true,,"#3 over #4: different brand from BabyBjörn/IKEA, covering step plus early potty practice in small bathrooms.",,"Independence jobs stack just past two: step up to wash, then sit to practise. One unit that flips between step and potty saves bathroom clutter in a small flat. Useful when space is tight and both jobs are starting together in the same bathroom.",,2026-07-24
25-27m,cat_step_stool,top_pick,4,TROGEN children’s step stool,IKEA,https://www.ikea.com/gb/en/p/trogen-childrens-step-stool-yellow-80371520/,200,true,true,buyable,true,,4.8,460,IKEA UK reviewCount 460,Children’s step stool with handles; no fixed start age on listing,pass,,strong,true,,#4 over #5: handles and height for counter help; second IKEA slot.,,"Just past two, helping at the sink needs a step they can drag themselves. Stand behind, keep one hand free, then step down together. Useful when BabyBjörn is already in the bathroom and you want a spare for kitchen helping only.",,2026-07-24
25-27m,cat_step_stool,top_pick,5,BabyBjörn Toilet Training Seat,BabyBjörn,https://www.babybjorn.co.uk/products/bathroom/toilet-training-seat/,200,true,true,buyable,true,,,,,Toilet training seat for toddlers moving onto the adult toilet with supervision,pass,,specialist,true,,"#5: pairs with the BabyBjörn step for adult-toilet practice; second BabyBjörn slot, no third IKEA.",,"Once the low step is sorted, some children want the adult toilet next. A child seat on the big toilet pairs with the step for the full bathroom job. Second BabyBjörn bathroom piece when the step is already earning its keep beside the basin every day.",,2026-07-24
25-27m,cat_step_stool,longlist,1,BabyBjörn Step Stool,BabyBjörn,https://www.babybjorn.co.uk/products/bathroom/step-stool/,200,true,,,,,,,,No fixed start age; designed for toddlers learning sink and toilet reach with supervision,,,specialist,,,"#1 over #2: brand-direct UK page buyable today, full non-slip top for wet feet, and height stays low for this band.",,Low steady bathroom step.,,2026-07-24
25-27m,cat_step_stool,longlist,2,FÖRSIKTIG children's stool,IKEA,https://www.ikea.com/gb/en/p/foersiktig-childrens-stool-white-turquoise-10591318/,200,true,,,,,4.8,213,,Children’s stool; no fixed start age on listing,,,strong,,,#2 over #3: 213+ IKEA UK reviews and a five-pound price while staying low for just past two.,,Budget low step.,,2026-07-24
25-27m,cat_step_stool,longlist,3,Bumbo Step 'n' Potty,Bumbo,https://www.boots.com/bumbo-step-n-potty,200,true,,,,,4.6,80,,Toddler step and potty trainer; supervise climbing,,,good,,,"#3 over #4: different brand from BabyBjörn/IKEA, covering step plus early potty practice in small bathrooms.",,Combined step and potty for small bathrooms.,,2026-07-24
25-27m,cat_step_stool,longlist,4,TROGEN children’s step stool,IKEA,https://www.ikea.com/gb/en/p/trogen-childrens-step-stool-yellow-80371520/,200,true,,,,,4.8,460,,Children’s step stool with handles; no fixed start age on listing,,,strong,,,#4 over #5: handles and height for counter help; second IKEA slot.,,Handled step for kitchen helping.,,2026-07-24
25-27m,cat_step_stool,longlist,5,BabyBjörn Toilet Training Seat,BabyBjörn,https://www.babybjorn.co.uk/products/bathroom/toilet-training-seat/,200,true,,,,,,,,Toilet training seat for toddlers moving onto the adult toilet with supervision,,,specialist,,,"#5: pairs with the BabyBjörn step for adult-toilet practice; second BabyBjörn slot, no third IKEA.",,Adult toilet practice with the step.,,2026-07-24
