age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
16-18m,cat_first_word_picture_books,top_pick,1,First 100 Words,Priddy Books,https://priddybooks.com/gb/books/first-100-words/,200,true,true,buyable,true,,,,Publisher or bookshop PDP; on-page review aggregate not published,0–2 years,pass,,good,true,,#1 over #2: clearest photo first word catalogue; Baby Touch Words is touch led naming.,,Finding words at sixteen to eighteen months often means pointing at a clear photo and hearing you name it. First 100 Words keeps pages chunky and pictures uncluttered. Best when you want one photo catalogue you can open for two minutes between meals without a story plot.,,2026-07-24
16-18m,cat_first_word_picture_books,top_pick,2,Baby Touch: Words,Ladybird,https://uk.bookshop.org/p/books/baby-touch-words-ladybird/9780241361634,200,true,true,buyable,true,,,,Publisher or bookshop PDP; on-page review aggregate not published,Baby Touch board book,pass,,good,true,,#2 over #3: touch led first words; Barefoot is illustrated word scenes.,,Some toddlers need a finger job before they will stay for a word. Baby Touch Words pairs a patch with a label so pointing has something to do. Choose when photo catalogues already seem dry and you want touch led naming without a long story.,,2026-07-24
16-18m,cat_first_word_picture_books,top_pick,3,Dear Zoo,Rod Campbell,https://uk.bookshop.org/p/books/dear-zoo-rod-campbell/9781407030678,200,true,true,buyable,true,,,,Publisher or bookshop PDP; on-page review aggregate not published,Board book classic,pass,,good,true,,#3 over #4: flap naming classic; Spot is seek and name.,,Flaps turn naming into a job with a clear next move. Dear Zoo keeps the animal list familiar without a photo catalogue. Best when first word catalogues already cover pointing and you want a short story style naming pattern with flaps.,,2026-07-24
16-18m,cat_first_word_picture_books,top_pick,4,Where's Spot?,Eric Hill,https://www.penguin.co.uk/books/122792/wheres-spot-by-hill-eric/9780723263661,200,true,true,buyable,true,,,,Publisher or bookshop PDP; on-page review aggregate not published,Board book classic,pass,,good,true,,#4 over #5: seek and name Spot; Hungry Caterpillar is food naming.,,Seek and name keeps first words tied to a game they already understand. Spot flaps give a clear place to look next on each page. Choose when Dear Zoo already covers animal flaps and you want a seek story with the same naming job.,,2026-07-24
16-18m,cat_first_word_picture_books,top_pick,5,Baby's First Words,Barefoot Books,https://barefootbooks.com/uk/babys-first-words/,200,true,true,buyable,true,,,,Publisher or bookshop PDP; on-page review aggregate not published,Ages 0–3,pass,,good,true,,#5 over #6: illustrated word scenes; Ladybird faces is face pointing.,,Photo pages are not the only way into first words. Barefoot scenes keep labels clear while the art stays calmer than a dense catalogue. Best when Priddy photos already live on the shelf and you want an illustrated word book for quieter sofa minutes.,,2026-07-24
16-18m,cat_first_word_picture_books,top_pick,6,Baby Touch: Faces,Ladybird,https://www.penguin.co.uk/books/313409/baby-touch-faces-a-black-and-white-book-by-ladybird/9780241391723,200,true,true,buyable,true,,,,Publisher or bookshop PDP; on-page review aggregate not published,Baby Touch board book,pass,,good,true,,#6 over #7: second Ladybird face naming; Puppy is texture naming.,,Face words show up in every mirror and photo on the phone. Baby Touch Faces keeps naming concrete without a dense hundred word spread. Choose when Baby Touch Words already covers general labels and you want a second Ladybird focused on faces.,,2026-07-24
16-18m,cat_first_word_picture_books,top_pick,7,That's Not My Dinosaur,Fiona Watt,https://uk.bookshop.org/p/books/that-s-not-my-dinosaur-fiona-watt/9781474916222,200,true,true,buyable,true,,,,Publisher or bookshop PDP; on-page review aggregate not published,Touchy-feely board book,pass,,good,true,,#7 over #8: texture naming; Priddy Animals is photo animals.,,Touch patches keep describing words going when photo catalogues lose them. Dinosaur pages give a different theme from everyday object lists on the sofa. Choose when Ladybird touch books already cover one line and you want Usborne style texture naming.,,2026-07-24
16-18m,cat_first_word_picture_books,top_pick,8,Global Babies,The Global Fund for Children,https://uk.bookshop.org/p/books/global-babies-the-global-fund-for-children/9781580891745,200,true,true,buyable,true,,,,Publisher or bookshop PDP; on-page review aggregate not published,0–2 years,pass,,good,true,,#8 over #9: photo baby faces; Priddy Animals is animal photos.,,Face pages still help first words when catalogues seem dense. Global Babies keeps the job to looking and naming faces without a hundred object grid. Choose when Ladybird Faces already covers high contrast art and you want photo babies instead.,,2026-07-24
16-18m,cat_first_word_picture_books,top_pick,9,"See, Touch, Feel: First Words",Priddy Books,https://priddybooks.com/gb/books/see-touch-feel-first-words/,200,true,true,buyable,true,,,,Publisher or bookshop PDP; on-page review aggregate not published,0–2 years,pass,,good,true,,#9 over #10: second Priddy texture words; Hello Baby Faces is faces theme.,,"Texture pages buy you another minute of attention when plain photos lose them. See, Touch, Feel First Words keeps labels simple while fingers stay busy on the page. Best as the second Priddy when First 100 Words already covers photo pointing.",,2026-07-24
16-18m,cat_first_word_picture_books,top_pick,10,That's Not My Puppy,Fiona Watt,https://uk.bookshop.org/p/books/that-s-not-my-puppy-fiona-watt/9780746047866,200,true,true,buyable,true,,,,Publisher or bookshop PDP; on-page review aggregate not published,Board book,pass,,good,true,,#10: second Fiona Watt texture theme after Dinosaur.,,Describing words arrive beside object names when fingers meet a patch. That is Not My Puppy keeps the pattern short and familiar on the sofa. Choose when Dinosaur already covers one touchy feely theme and you want a puppy version too.,,2026-07-24
16-18m,cat_first_word_picture_books,longlist,1,First 100 Words,Priddy Books,https://priddybooks.com/gb/books/first-100-words/,200,true,,,,,,,,0–2 years,,,good,,,#1 over #2: clearest photo first word catalogue; Baby Touch Words is touch led naming.,,Photo first word pointing.,"Large catalogue; follow their interest, do not finish every page.",2026-07-24
16-18m,cat_first_word_picture_books,longlist,2,Baby Touch: Words,Ladybird,https://uk.bookshop.org/p/books/baby-touch-words-ladybird/9780241361634,200,true,,,,,,,,Baby Touch board book,,,good,,,#2 over #3: touch led first words; Barefoot is illustrated word scenes.,,Touch and name words.,Touch patches wear; supervise.,2026-07-24
16-18m,cat_first_word_picture_books,longlist,3,Dear Zoo,Rod Campbell,https://uk.bookshop.org/p/books/dear-zoo-rod-campbell/9781407030678,200,true,,,,,,,,Board book classic,,,good,,,#3 over #4: flap naming classic; Spot is seek and name.,,Flap and name animals.,Flaps tear; supervise.,2026-07-24
16-18m,cat_first_word_picture_books,longlist,4,Where's Spot?,Eric Hill,https://www.penguin.co.uk/books/122792/wheres-spot-by-hill-eric/9780723263661,200,true,,,,,,,,Board book classic,,,good,,,#4 over #5: seek and name Spot; Hungry Caterpillar is food naming.,,Seek and name.,Flaps; supervise.,2026-07-24
16-18m,cat_first_word_picture_books,longlist,5,Baby's First Words,Barefoot Books,https://barefootbooks.com/uk/babys-first-words/,200,true,,,,,,,,Ages 0–3,,,good,,,#5 over #6: illustrated word scenes; Ladybird faces is face pointing.,,Illustrated first words.,Follow interest; short sessions.,2026-07-24
16-18m,cat_first_word_picture_books,longlist,6,Baby Touch: Faces,Ladybird,https://www.penguin.co.uk/books/313409/baby-touch-faces-a-black-and-white-book-by-ladybird/9780241391723,200,true,,,,,,,,Baby Touch board book,,,good,,,#6 over #7: second Ladybird face naming; Puppy is texture naming.,,Face word pointing.,Second Ladybird; brand cap full.,2026-07-24
16-18m,cat_first_word_picture_books,longlist,7,That's Not My Dinosaur,Fiona Watt,https://uk.bookshop.org/p/books/that-s-not-my-dinosaur-fiona-watt/9781474916222,200,true,,,,,,,,Touchy-feely board book,,,good,,,#7 over #8: texture naming; Priddy Animals is photo animals.,,Dino texture naming.,Touch patches wear.,2026-07-24
16-18m,cat_first_word_picture_books,longlist,8,Global Babies,The Global Fund for Children,https://uk.bookshop.org/p/books/global-babies-the-global-fund-for-children/9781580891745,200,true,,,,,,,,0–2 years,,,good,,,#8 over #9: photo baby faces; Priddy Animals is animal photos.,,Baby face naming.,Bookshop URL can flake.,2026-07-24
16-18m,cat_first_word_picture_books,longlist,9,"See, Touch, Feel: First Words",Priddy Books,https://priddybooks.com/gb/books/see-touch-feel-first-words/,200,true,,,,,,,,0–2 years,,,good,,,#9 over #10: second Priddy texture words; Hello Baby Faces is faces theme.,,Textured first words.,Second Priddy; brand cap full.,2026-07-24
16-18m,cat_first_word_picture_books,longlist,10,That's Not My Puppy,Fiona Watt,https://uk.bookshop.org/p/books/that-s-not-my-puppy-fiona-watt/9780746047866,200,true,,,,,,,,Board book,,,good,,,#10: second Fiona Watt texture theme after Dinosaur.,,Puppy texture naming.,Second Fiona Watt; brand cap full. Bookshop may flake.,2026-07-24
16-18m,cat_first_word_picture_books,longlist,11,First 100 Animals,Priddy Books,https://priddybooks.com/gb/books/first-100-animals/,200,true,,,,,,,,0–2 years,,,good,,,Rank 11: brand cap.,Third Priddy title; brand cap already uses First 100 Words and See Touch Feel First Words.,Third Priddy photo book.,,2026-07-24
16-18m,cat_first_word_picture_books,longlist,12,"See, Touch, Feel: Words",Priddy Books,https://priddybooks.com/gb/books/see-touch-feel-words/,200,true,,,,,,,,0–2 years,,,good,,,Rank 12: near duplicate.,Near-duplicate of See Touch Feel First Words already in Top 10.,Near-duplicate texture words.,,2026-07-24
