age_band_id,cluster_rank,cluster_entity_id,cluster_label,selected_for_stage3,category_rank,category_entity_id,category_type_slug,category_label,priority_score,buyer_mode_label,primary_persona,gift_friendly,show_gift_action,gift_display_eligible,gift_confidence,common_ownership_risk,evidence_count,source_count,stage3_research_input_filename,stage3_ingestion_bundle_hint,reason_selected,manual_review_flag
age_13_15m,1,ent_cluster_working_things_out,I’m working things out,true,2,cat_two_block_towers,cat_two_block_towers,Blocks for stacking and crashing,40.6,Good gift,both,true,true,true,high,high,3,0,ember_picks_13-15m_cat_two_block_towers.json,stage3_ingestion_bundle_13-15m.json,Top eligible in cluster; 3 evidence id(s); persona both; gift bonus 3.5; Good gift; has product family; high ownership risk (−),
age_13_15m,2,ent_cluster_telling_things,I’m telling you things,true,2,cat_books_with_pauses,cat_books_with_pauses,Lift-the-flap books,42.7,Good gift,both,true,true,true,high,medium,3,0,ember_picks_13-15m_cat_books_with_pauses.json,stage3_ingestion_bundle_13-15m.json,Top eligible in cluster; 3 evidence id(s); persona both; gift bonus 3.5; Good gift; has product family; medium ownership risk (−),
age_13_15m,3,ent_cluster_copying_day,I’m copying your day,true,2,cat_teddy_care_play,cat_teddy_care_play,Teddies and soft dolls for caring play,42.55,Good gift,both,true,true,true,high,medium,3,0,ember_picks_13-15m_cat_teddy_care_play.json,stage3_ingestion_bundle_13-15m.json,Top eligible in cluster; 3 evidence id(s); persona both; gift bonus 3.5; Good gift; has product family; medium ownership risk (−),
age_13_15m,4,ent_cluster_braver_feet,I’m getting braver on my feet,true,5,cat_push_pull_play,cat_push_pull_play,Push and pull toys,40.9,Good gift,both,true,true,true,high,medium,4,0,ember_picks_13-15m_cat_push_pull_play.json,stage3_ingestion_bundle_13-15m.json,Top eligible in cluster; 4 evidence id(s); persona both; gift bonus 3.5; Good gift; has product family; medium ownership risk (−),
age_13_15m,5,ent_cluster_meals_charge,I’m taking charge at meals,true,2,cat_open_cup,cat_open_cup,Small open cups,38.5,Parent buy,conor,false,false,false,,,3,0,ember_picks_13-15m_cat_open_cup.json,stage3_ingestion_bundle_13-15m.json,Top eligible in cluster; 3 evidence id(s); Conor parent buy; Parent buy; has product family,
age_13_15m,6,ent_cluster_first_marks,I’m making my first marks,true,2,cat_big_paper_floor,cat_big_paper_floor,Large paper pads,40.1,Good gift,both,true,true,true,high,medium,2,0,ember_picks_13-15m_cat_big_paper_floor.json,stage3_ingestion_bundle_13-15m.json,Top eligible in cluster; 2 evidence id(s); persona both; gift bonus 3.5; Good gift; has product family; medium ownership risk (−),
age_13_15m,7,ent_cluster_joining_in,I’m joining in properly now,true,4,cat_tiny_music_basket,cat_tiny_music_basket,Simple shakers and first instruments,40.95,Good gift,both,true,true,true,high,medium,3,1,ember_picks_13-15m_cat_tiny_music_basket.json,stage3_ingestion_bundle_13-15m.json,Top eligible in cluster; 3 evidence id(s); 1 source id(s); persona both; gift bonus 3.5; Good gift; has product family; medium ownership risk (−),
age_13_15m,8,ent_cluster_suddenly_everything,I’m suddenly into everything,true,6,cat_cupboard_locks_cable_tidy,cat_cupboard_locks_cable_tidy,Cupboard locks and cable tidies,29.55,Parent buy,conor,false,false,false,,,3,0,ember_picks_13-15m_cat_cupboard_locks_cable_tidy.json,stage3_ingestion_bundle_13-15m.json,Top eligible in cluster; 3 evidence id(s); Conor parent buy; Parent buy; has product family,
age_13_15m,9,ent_cluster_between_baby_toddler,I’m between baby and toddler,true,4,cat_transition_basket,cat_transition_basket,Small transition basket,35.9,Parent buy,conor,false,false,false,,,3,0,ember_picks_13-15m_cat_transition_basket.json,stage3_ingestion_bundle_13-15m.json,Top eligible in cluster; 3 evidence id(s); Conor parent buy; Parent buy; has product family,
age_13_15m,10,ent_cluster_change_scene,I’m ready for a change of scene,true,4,cat_out_and_about_kit,cat_out_and_about_kit,Out-and-about toy pouch,36.75,Parent buy,conor,false,false,false,,,3,1,ember_picks_13-15m_cat_out_and_about_kit.json,stage3_ingestion_bundle_13-15m.json,Top eligible in cluster; 3 evidence id(s); 1 source id(s); Conor parent buy; Parent buy; has product family,
