age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
4-6m,cat_kick_play_socks,top_pick,1,Lamaze Gardenbug Foot Finder and Wrist Rattle Set,Lamaze,https://www.hamleys.com/lamaze-gardenbug-foot-finder-and-wrist-rattle-set,200,true,true,buyable,true,,4.6,200,UK retailer aggregates,0–12 months,pass,,strong,true,,#1: clearest dedicated foot-finder sock design with deep UK familiarity.,,Kicks start making noise on purpose at this age. Soft bug socks stay put so a flail becomes a rattle without needing a precise grab yet. Use on the playmat during nappy changes when feet are already in the air and you can watch the whole time.,,2026-07-24
4-6m,cat_kick_play_socks,top_pick,2,Playgro Jungle Friends Gift Pack,Playgro,https://www.coolshop.co.uk/product/playgro-jungle-friends-gift-pack-10182436/AD6X5Q/,200,true,true,buyable,true,,4.5,30,Coolshop,0 months+,pass,,good,true,,#2: true foot finders plus chew backups in one purchase.,,"If Gardenbug is already in the drawer, this pack still earns a look for extra foot finders and chew links. Kicks that rattle teach action and sound without needing a grab first. Rotate pieces when one is drying after a wash cycle.",,2026-07-24
4-6m,cat_kick_play_socks,top_pick,3,Playgro Wrist Rattle and Foot Fingers,Playgro,https://www.coolshop.co.uk/product/playgro-wrist-rattle-and-foot-fingers-10188406/23HW6J/,200,true,true,buyable,true,,4.5,25,Coolshop,0 months+,pass,,good,true,,#3: true foot/hand rattles; Playgro brand capped.,,"A brighter alternative to character jungle packs if you want plain action and sound on wrists and feet. Movement makes the noise, which is the whole job at this age. Stay with supervised awake play; never leave rattles on for sleep or unsupervised spells.",,2026-07-24
4-6m,cat_kick_play_socks,top_pick,4,Sophie La Girafe Original Teether,Sophie la Girafe,https://www.hamleys.com/sophie-la-girafe-original-teether,200,true,true,buyable,true,,4.8,227,Coolshop,0 months+,pass,,good,true,,True foot finder sets beat mouthing companions for this card; Sophie is the strongest chew beside kick play.,,"Kicking discovery often ends with toes or toys in the mouth. Sophie covers that next beat when socks have done their noisy job. Ranked after true foot finders because dedicated socks are the category spine, while Sophie is the mouthing companion on the same mat.",,2026-07-24
4-6m,cat_kick_play_socks,top_pick,5,Lamaze Jacques the Peacock,Lamaze,https://www.coolshop.co.uk/product/lamaze-jacques-peacock-941-27013/AM29SQ/,200,true,true,buyable,true,,4.6,80,Coolshop / retailer aggregate,From birth,pass,,strong,true,,True foot finder sets beat hanging toys for this card; Jacques is the strongest clip target when socks are in the wash.,,"When socks are washing, a hanging peacock still rewards a kick or bat with movement and sound. Clip it to a gym bar or pram frame where feet can reach. Ranked after true foot finders because socks teach body mapping more directly than a hanging toy alone.",,2026-07-24
4-6m,cat_kick_play_socks,longlist,1,Lamaze Gardenbug Foot Finder and Wrist Rattle Set,Lamaze,https://www.hamleys.com/lamaze-gardenbug-foot-finder-and-wrist-rattle-set,200,true,,,,,4.6,200,,0–12 months,,,strong,,,#1: clearest dedicated foot-finder sock design with deep UK familiarity.,,Cause-and-effect via kicking.,Socks can slip off bigger calves; never for sleep.,2026-07-24
4-6m,cat_kick_play_socks,longlist,2,Playgro Jungle Friends Gift Pack,Playgro,https://www.coolshop.co.uk/product/playgro-jungle-friends-gift-pack-10182436/AD6X5Q/,200,true,,,,,4.5,30,,0 months+,,,good,,,#2: true foot finders plus chew backups in one purchase.,,Foot finders plus extras.,Busier than a single set.,2026-07-24
4-6m,cat_kick_play_socks,longlist,3,Playgro Wrist Rattle and Foot Fingers,Playgro,https://www.coolshop.co.uk/product/playgro-wrist-rattle-and-foot-fingers-10188406/23HW6J/,200,true,,,,,4.5,25,,0 months+,,,good,,,#3: true foot/hand rattles; Playgro brand capped.,,Dedicated wrist/foot rattles.,Higher price than Gardenbug; Playgro capped at two.,2026-07-24
4-6m,cat_kick_play_socks,longlist,4,Sophie La Girafe Original Teether,Sophie la Girafe,https://www.hamleys.com/sophie-la-girafe-original-teether,200,true,,,,,4.8,227,,0 months+,,,good,,,True foot finder sets beat mouthing companions for this card; Sophie is the strongest chew beside kick play.,,Cause-effect beside socks.,Not a sock set; Lamaze capped at two.,2026-07-24
4-6m,cat_kick_play_socks,longlist,5,Lamaze Jacques the Peacock,Lamaze,https://www.coolshop.co.uk/product/lamaze-jacques-peacock-941-27013/AM29SQ/,200,true,,,,,4.6,80,,From birth,,,strong,,,True foot finder sets beat hanging toys for this card; Jacques is the strongest clip target when socks are in the wash.,,Mouthing follow-on after kicks.,Not socks — companion only.,2026-07-24
