age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
34-36m,cat_small_world_figures,top_pick,1,Happyland London Bus Playset,Early Learning Centre / Happyland,https://www.moonpig.com/uk/gifts/p/happyland-london-bus-playset/teal-549251/,200,true,true,buyable,true,,,,Not exposed on Moonpig product page; ELC bot-blocked (403) for agents,Suitable for age 12 months + (Moonpig); ELC / Entertainer also list Ages 2-5,pass,,specialist,true,,"#1 over #2: Happyland hands the child ready-made people and a stop for get-on / go / return with zero build friction, so it edges DUPLO Bus Ride when the brief is whole-scene pretend rather than brick play.",,"This is still the cleanest get-on / go / return scene for a nearly-three who already narrates trips. If a Happyland bus is already in the cupboard or at nursery, bring it back out before buying another.",,2026-07-22
34-36m,cat_small_world_figures,top_pick,2,PLAYMOBIL Junior Airport Shuttle Bus (71689),Playmobil Junior,https://www.playmobil.com/en-gb/junior:-airport-shuttle-bus/71689.html,200,true,true,buyable,true,,,,Not exposed on playmobil.com Junior product page,Junior Ages 1-4 years,pass,,specialist,true,,#2 over #3: Airport board-and-go keeps the travel story from #1 but adds a different setting; it replaces retired/out-of-stock DUPLO Bus Ride 10988 after availability screening failed that SKU.,,"Use this when the trip is airport or holiday travel rather than a red London bus. Still Junior only — and the Playmobil page is buyable today, unlike the retired DUPLO Bus Ride.",,2026-07-22
34-36m,cat_small_world_figures,top_pick,3,PLAYMOBIL Junior Everyday Heroes (71692),Playmobil Junior,https://www.playmobil.com/en-gb/junior:-everyday-heroes/71692.html,200,true,true,buyable,true,,,,Not exposed on playmobil.com Junior product page,Age: 1 years and up / Junior 1-4 years,pass,,specialist,true,,"#3 over #4: Help-and-rescue roles match the cluster feelings brief more tightly than dump-truck load/tip play, so Everyday Heroes sits above the Dump Truck despite similar Junior age marks.",,"Use this when the story is help — someone needs the doctor, fire engine or police — not just another bus ride. Stick to Junior; classic Playmobil is the wrong age mark for this band.",,2026-07-22
34-36m,cat_small_world_figures,top_pick,4,PLAYMOBIL Junior Dump Truck (71685),Playmobil Junior,https://www.playmobil.com/en-gb/junior:-dump-truck/71685.html,200,true,true,buyable,true,,,,Not exposed on playmobil.com Junior product page,Age: 1 years and up / Junior 1-4 years,pass,,specialist,true,,"#4 over #5: One figure plus a tipping bed gives a clearer single job story than the multi-rebuild Construction Vehicles set, even though 10475 has stronger Amazon UK ratings.",,"Best when the child wants a work trip — load, tip, stack, go back — with one clear figure. Still Junior only; do not substitute classic Playmobil dump trucks with under-3 warnings.",,2026-07-22
34-36m,cat_small_world_figures,top_pick,5,LEGO DUPLO 3-in-1 Construction Vehicles (10475),LEGO DUPLO,https://www.amazon.co.uk/LEGO-10475-tbd-10475/dp/B01MTWBPPI,200,true,true,buyable,true,,4.8,287,Amazon UK (ASIN B01MTWBPPI) checked 2026-07-22,Ages 2+,pass,,strong,true,,"#5 as the ratings-backed rebuild option: it earns the last Top 5 slot on review depth and 2+ age fit, while sitting behind clearer people-scene sets on educational match.",,Kept in Top 5 as the evidence-backed workhorse when bus and Junior helper sets already feel covered. Strong Amazon UK ratings; slightly weaker on people/feelings than the ranks above.,,2026-07-22
34-36m,cat_small_world_figures,longlist,1,Happyland London Bus Playset,Early Learning Centre / Happyland,https://www.moonpig.com/uk/gifts/p/happyland-london-bus-playset/teal-549251/,200,true,,,,,,,,Suitable for age 12 months + (Moonpig); ELC / Entertainer also list Ages 2-5,,,specialist,,,"#1 over #2: Happyland hands the child ready-made people and a stop for get-on / go / return with zero build friction, so it edges DUPLO Bus Ride when the brief is whole-scene pretend rather than brick play.",,,,2026-07-22
34-36m,cat_small_world_figures,longlist,2,PLAYMOBIL Junior Airport Shuttle Bus (71689),Playmobil Junior,https://www.playmobil.com/en-gb/junior:-airport-shuttle-bus/71689.html,200,true,,,,,,12,,Junior Ages 1-4 years,,,specialist,,,#2 over #3: Airport board-and-go keeps the travel story from #1 but adds a different setting; it replaces retired/out-of-stock DUPLO Bus Ride 10988 after availability screening failed that SKU.,,,,2026-07-22
34-36m,cat_small_world_figures,longlist,3,PLAYMOBIL Junior Everyday Heroes (71692),Playmobil Junior,https://www.playmobil.com/en-gb/junior:-everyday-heroes/71692.html,200,true,,,,,,,,Age: 1 years and up / Junior 1-4 years,,,specialist,,,"#3 over #4: Help-and-rescue roles match the cluster feelings brief more tightly than dump-truck load/tip play, so Everyday Heroes sits above the Dump Truck despite similar Junior age marks.",,,,2026-07-22
34-36m,cat_small_world_figures,longlist,4,PLAYMOBIL Junior Dump Truck (71685),Playmobil Junior,https://www.playmobil.com/en-gb/junior:-dump-truck/71685.html,200,true,,,,,,,,Age: 1 years and up / Junior 1-4 years,,,specialist,,,"#4 over #5: One figure plus a tipping bed gives a clearer single job story than the multi-rebuild Construction Vehicles set, even though 10475 has stronger Amazon UK ratings.",,,,2026-07-22
34-36m,cat_small_world_figures,longlist,5,LEGO DUPLO 3-in-1 Construction Vehicles (10475),LEGO DUPLO,https://www.amazon.co.uk/LEGO-10475-tbd-10475/dp/B01MTWBPPI,200,true,,,,,4.8,287,,Ages 2+,,,strong,,,"#5 as the ratings-backed rebuild option: it earns the last Top 5 slot on review depth and 2+ age fit, while sitting behind clearer people-scene sets on educational match.",,,,2026-07-22
