age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
16-18m,cat_ramp_rolling_toys,top_pick,1,Quercetti FlipCar Racetrack,Quercetti,https://toytastic.co.uk/product/quercetti-flipcar-racetrack/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,18 months +,pass,,good,true,,#1 over #2: clearest ramp-and-roll job with cars; Migoga is drop tower not ramp.,,"At sixteen to eighteen months, testing what happens often means a push, a roll and a delighted chase. FlipCar keeps the run short enough for living-room floors without a huge circuit. Best near eighteen months when a single ball already feels too simple and hands want a car that flips.",,2026-07-24
16-18m,cat_ramp_rolling_toys,top_pick,2,Quercetti Migoga Tower Sound,Quercetti,https://toytastic.co.uk/product/quercetti-migoga-tower-sound/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,18 months +,pass,,good,true,,#2 over #3: guided drop roll with sound; soft balls are freer chase.,,"When the question is what happens if I drop this, a sound tower answers out loud. Migoga Sound keeps balls large and the path visible on the floor. Choose when FlipCar is too heavy on track pieces and you want drop and roll on a small footprint.",,2026-07-24
16-18m,cat_ramp_rolling_toys,top_pick,3,Scrunch Ball,Scrunch,https://www.adventuretoys.co.uk/scrunch-ball/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,Toddler soft play ball,pass,,good,true,,#3 over #4: freest roll distance; silicone sets win grip not hallway travel.,,Ramp days still need a free roll that invites a toddle after it. Soft Scrunch weight keeps hallway chase kind on shins and shelves. Bring it out when track sets feel too fussy and you want one ball that packs flat for the bag.,,2026-07-24
16-18m,cat_ramp_rolling_toys,top_pick,4,Bigjigs Activity Balls,Bigjigs,https://www.adventuretoys.co.uk/big-jigs-activity-balls/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,12 months +,pass,,good,true,,#4 over #5: multi-ball grasp set; fabric ball is quieter single roll.,,Some rolling days are about the grab as much as the chase. Bigjigs silicone balls stay soft while textures invite a firmer hold. Useful when one Scrunch already covers hallway distance and you want a set you can leave in two rooms.,,2026-07-24
16-18m,cat_ramp_rolling_toys,top_pick,5,Les Deglingos Melimelos Activity Ball,Les Deglingos,https://toytastic.co.uk/product/les-deglingos-activity-ball-melimelos-the-deer/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,Birth to 18 months,pass,,good,true,,#5 completes set: quiet fabric roll after PVC and silicone.,,Hard floors can make plastic rolls too loud for evening play. This fabric ball keeps the chase soft and the grab interesting with tags. Best when silicone and PVC balls already sit in the basket and you want a quieter indoor option that still overlaps this band.,,2026-07-24
16-18m,cat_ramp_rolling_toys,longlist,1,Quercetti FlipCar Racetrack,Quercetti,https://toytastic.co.uk/product/quercetti-flipcar-racetrack/,200,true,,,,,,,,18 months +,,,good,,,#1 over #2: clearest ramp-and-roll job with cars; Migoga is drop tower not ramp.,,Ramp rolling with flip cars.,18m+ overlaps band at the top only.,2026-07-24
16-18m,cat_ramp_rolling_toys,longlist,2,Quercetti Migoga Tower Sound,Quercetti,https://toytastic.co.uk/product/quercetti-migoga-tower-sound/,200,true,,,,,,,,18 months +,,,good,,,#2 over #3: guided drop roll with sound; soft balls are freer chase.,,Drop and roll tower.,Second Quercetti; brand cap full. 18m+ upper overlap.,2026-07-24
16-18m,cat_ramp_rolling_toys,longlist,3,Scrunch Ball,Scrunch,https://www.adventuretoys.co.uk/scrunch-ball/,200,true,,,,,,,,Toddler soft play ball,,,good,,,#3 over #4: freest roll distance; silicone sets win grip not hallway travel.,,Soft free roll for chase.,Also listed under soft balls category.,2026-07-24
16-18m,cat_ramp_rolling_toys,longlist,4,Bigjigs Activity Balls,Bigjigs,https://www.adventuretoys.co.uk/big-jigs-activity-balls/,200,true,,,,,,,,12 months +,,,good,,,#4 over #5: multi-ball grasp set; fabric ball is quieter single roll.,,Graspable roll set.,Shorter roll than Scrunch.,2026-07-24
16-18m,cat_ramp_rolling_toys,longlist,5,Les Deglingos Melimelos Activity Ball,Les Deglingos,https://toytastic.co.uk/product/les-deglingos-activity-ball-melimelos-the-deer/,200,true,,,,,,,,Birth to 18 months,,,good,,,#5 completes set: quiet fabric roll after PVC and silicone.,,Quiet fabric roll.,Birth–18m ends at band max.,2026-07-24
