age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
13-15m,cat_push_pull_play,top_pick,1,The Buddy Stroller,Lovevery,https://www.lovevery.co.uk/products/the-buddy-stroller,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#1: push with purpose for new walkers.,,"Braver feet need a job for the hands. Pushing a friend along lets them practise balance with a clear destination, which is different from an empty push walker that only races away. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_push_pull_play,top_pick,2,Toomies Pic N Pop,Toomies,https://www.boots.com/toomies-pic-n-pop-10348886,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#2: push plus pop distinct from stroller.,,"Some new walkers want cause and effect more than a pram copy. Pic N Pop gives a push job with a silly ball reward, best on a clear hallway where chasing balls stays kind. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_push_pull_play,top_pick,3,"UPPSTÅ building beakers, multicolour",IKEA,https://www.ikea.com/gb/en/p/uppsta-building-beakers-multicolour-70513884/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#3: carry tip hybrid without JL timeout.,,"When wood pull toys time out at checkout, beakers still give a carry and tip job for new walkers. Park two beakers in the Buddy Stroller tray for a short hallway route. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_push_pull_play,top_pick,4,Lamaze Freddie the Firefly,Lamaze,https://www.boots.com/lamaze-freddie-the-firefly-10065234,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,From birth,pass,,specialist,true,,#4: soft companion for push routes.,,"Not a classic pull toy, yet it supports out and back routes when feet are new. Clip it to the Buddy Stroller so the push job still has a familiar friend. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_push_pull_play,top_pick,5,"FLÅDIS basket, seagrass, 25 cm",IKEA,https://www.ikea.com/gb/en/p/fladis-basket-60322173/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Basket,pass,,specialist,true,,#5: carry route alternative to wheeled push.,,Some new walkers prefer carrying to pushing. A light basket with one soft toy gives a clear destination without a race away walker. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_push_pull_play,longlist,1,The Buddy Stroller,Lovevery,https://www.lovevery.co.uk/products/the-buddy-stroller,200,true,,,,,,,,12 months+,,,specialist,,,Top pick #1,,Best steady push friend,,2026-07-24
13-15m,cat_push_pull_play,longlist,2,Toomies Pic N Pop,Toomies,https://www.boots.com/toomies-pic-n-pop-10348886,200,true,,,,,,,,12 months+,,,specialist,,,Top pick #2,,Best ball push pop,,2026-07-24
13-15m,cat_push_pull_play,longlist,3,John Lewis Wooden Pull-Along Elephant,John Lewis,https://www.johnlewis.com/john-lewis-wooden-pull-along-elephant-toy-fsc-certified-beech-wood-plywood/p113997263,200,true,,,,,,,,12 months+,,,specialist,,,Top pick #3,,Best wood pull elephant,,2026-07-24
13-15m,cat_push_pull_play,longlist,4,John Lewis Wooden Blocks Baby Walker,John Lewis,https://www.johnlewis.com/john-lewis-wooden-blocks-baby-walker-fsc-certified-wood/p110988294,200,true,,,,,,,,12 months+,,,specialist,,,Top pick #4,,Best blocks walker cart,,2026-07-24
13-15m,cat_push_pull_play,longlist,5,Lamaze Freddie the Firefly,Lamaze,https://www.boots.com/lamaze-freddie-the-firefly-10065234,200,true,,,,,,,,From birth / clip and go,,,specialist,,,Top pick #5,,Best clip and go shake,,2026-07-24
13-15m,cat_push_pull_play,longlist,6,Lovevery Pull Pup,Lovevery,https://www.lovevery.co.uk/products/the-pull-pup,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: 18m+ listing above band.,18m+,,2026-07-24
13-15m,cat_push_pull_play,longlist,7,JL Farm Pull Stack Train,John Lewis,https://www.johnlewis.com/john-lewis-wooden-farm-pull-along-stacking-train-fsc-certified-wood/p110988286,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: third JL brand risk.,Farm train,,2026-07-24
13-15m,cat_push_pull_play,longlist,8,Tidlo Activity Walker,Tidlo,https://www.bigjigstoys.co.uk/products/activity-walker,429,false,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: 429 smoke.,Tidlo,,2026-07-24
13-15m,cat_push_pull_play,longlist,9,PlanToys Walker,PlanToys,https://www.amazon.co.uk/dp/B000067Q9T,200,false,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: Amazon smoke.,PlanToys,,2026-07-24
13-15m,cat_push_pull_play,longlist,10,Hape Wonder Walker,Hape,https://www.smythstoys.com/uk/en-gb/toys/baby-and-preschool/push-along-toys/tidlo-activity-walker/p/177318,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: bot-wall risk.,Hape,,2026-07-24
13-15m,cat_push_pull_play,longlist,11,Lovevery Pull Pup (alt),Lovevery,https://www.lovevery.co.uk/products/the-pull-pup,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_push_pull_play,longlist,12,JL Farm Pull Stack Train (alt),John Lewis,https://www.johnlewis.com/john-lewis-wooden-farm-pull-along-stacking-train-fsc-certified-wood/p110988286,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_push_pull_play,longlist,13,Tidlo Activity Walker (alt),Tidlo,https://www.bigjigstoys.co.uk/products/activity-walker,429,false,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_push_pull_play,longlist,14,PlanToys Walker (alt),PlanToys,https://www.amazon.co.uk/dp/B000067Q9T,200,false,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_push_pull_play,longlist,15,Hape Wonder Walker (alt),Hape,https://www.smythstoys.com/uk/en-gb/toys/baby-and-preschool/push-along-toys/tidlo-activity-walker/p/177318,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_push_pull_play,skip,,Sit-in baby walkers,Various,https://www.argos.co.uk/product/1959071,200,true,,,,,,,,,,,reject,false,skip,,,,Sit-in walkers are a different safety class; not Ember push toys.,2026-07-24
13-15m,cat_push_pull_play,skip,,Lovevery Pull Pup as Top Pick,Lovevery,https://www.lovevery.co.uk/products/the-pull-pup,200,true,,,,,,,,,,,reject,false,skip,,,,18 months+ recommendation sits above 13–15m.,2026-07-24
13-15m,cat_push_pull_play,skip,,US Manhattan walker,Manhattan Toy,https://www.manhattantoy.com/,429,false,,,,,,,,,,,reject,false,skip,,,,US host.,2026-07-24
13-15m,cat_push_pull_play,skip,,Ride-ons for older toddlers,Various,https://www.boots.com/kinderkraft-scooter-halley-grassland-green-10347106,200,true,,,,,,,,,,,reject,false,skip,,,,Scooter/balance bike too advanced.,2026-07-24
13-15m,cat_push_pull_play,skip,,Unweighted plastic race walkers,Various,https://www.amazon.co.uk/dp/B082YN8F54,200,false,,,,,,,,,,,reject,false,skip,,,,Race-away walkers frustrate new walkers.,2026-07-24
