age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
13-15m,cat_two_block_towers,top_pick,1,UPPSTÅ Crane with Blocks,IKEA,https://www.ikea.com/gb/en/p/uppsta-crane-with-blocks-multicolour-beech-40580851/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#1: stage fit stack crash with clear 12m age mark.,,"After the first birthday, the fun is placing one block on another and watching the crash. This crane set keeps the pieces chunky enough for short towers without a huge heirloom box price. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_two_block_towers,top_pick,2,"UPPSTÅ building beakers, multicolour",IKEA,https://www.ikea.com/gb/en/p/uppsta-building-beakers-multicolour-70513884/,200,true,true,buyable,true,,,,IKEA UK product reviews (captured at research),12 months+,pass,,specialist,true,,#2: distinct stack job; second IKEA slot.,,Beakers give a softer crash than wood and travel well to grandparents. Keep sessions short so stacking stays the job rather than a whole room tip out. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_two_block_towers,top_pick,3,Lamaze Pile & Play Cups,Lamaze,https://www.boots.com/lamaze-pile-play-cups-10203340,200,true,true,buyable,true,,,,IKEA UK product reviews,12 months+,pass,,specialist,true,,#replacement: Boots fabric cups to cut IKEA brand concentration.,,"Fabric cups keep the crash soft for tired evenings. Build two short towers together, tip them, and pack them away before they become a whole room tip out. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_two_block_towers,top_pick,4,Nuby Stacking Cups,Nuby,https://www.boots.com/nuby-stacking-cups-10203341,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Suitable from 6 months,pass,,specialist,true,,#replacement: Nuby cups to remove Lamaze duplicate.,,Plastic cups are the washable backup when fabric cups are already in the wash. Keep the session to two short towers so tip play stays kind. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_two_block_towers,top_pick,5,The Block Set,Lovevery,https://www.lovevery.co.uk/products/the-block-set,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#5: deepest stack system with clear 12m min age mark (no 48 exclusion signal).,,"After the first birthday, the fun is placing one block on another and watching the crash. This deep block set keeps enough chunky pieces for short towers now, then grows into sorting later. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_two_block_towers,longlist,1,The Block Set,Lovevery,https://www.lovevery.co.uk/products/the-block-set,200,true,,,,,,,,12 to 48+ months,,,specialist,,,Top pick #1,,Heirloom stack system,,2026-07-24
13-15m,cat_two_block_towers,longlist,2,UPPSTÅ Crane with Blocks,IKEA,https://www.ikea.com/gb/en/p/uppsta-crane-with-blocks-multicolour-beech-40580851/,200,true,,,,,,,,From 12 months,,,good,,,Top pick #2,,Wood crash starter,,2026-07-24
13-15m,cat_two_block_towers,longlist,3,UPPSTÅ Building Beakers,IKEA,https://www.ikea.com/gb/en/p/uppsta-building-beakers-multicolour-70513884/,200,true,,,,,,,,From 6 months,,,strong,,,Top pick #3,,Nest and tip,,2026-07-24
13-15m,cat_two_block_towers,longlist,4,Lamaze Pile & Play Cups,Lamaze,https://www.boots.com/lamaze-pile-play-cups-10203340,200,true,,,,,,,,From 6 months,,,specialist,,,Top pick #4,,Soft stack,,2026-07-24
13-15m,cat_two_block_towers,longlist,5,Nuby Stacking Cups,Nuby,https://www.boots.com/nuby-stacking-cups-10203341,200,true,,,,,,,,From 6 months,,,specialist,,,Top pick #5,,Bath stack,,2026-07-24
13-15m,cat_two_block_towers,longlist,6,John Lewis 100 Wooden Building Blocks,John Lewis,https://www.johnlewis.com/john-lewis-100-wooden-building-blocks/p4808271,200,true,,,,,,,,12 months+,,,good,,,Strong cube volume after Top 5 soft/nest mix,Missed Top 5: availability fetch timed out on John Lewis in research environment; kept as backup.,Big cube set,,2026-07-24
13-15m,cat_two_block_towers,longlist,7,GREJSIMOJS Building Blocks,IKEA,https://www.ikea.com/gb/en/p/grejsimojs-20-piece-toy-building-blocks-mix-and-match-5-figurines-60602036/,200,true,,,,,,,,From 18 months,,,good,,,Fun mix-and-match but older age mark,"Missed Top 5: listing recommends 18 months+, weak overlap for 13–15m band.",Figurine blocks,,2026-07-24
13-15m,cat_two_block_towers,longlist,8,Hape Wonderful Blocks 101pcs,Hape,https://www.smythstoys.com/uk/en-gb/toys/baby-and-preschool/baby-toys/building-blocks/hape-wonderful-blocks-101pcs/p/208120,200,true,,,,,,,,12 months+,,,emerging,,,High volume wood; bot walls in smoke,Missed Top 5: Smyths bot-wall risk on primary; Lovevery/IKEA already cover wood.,Classic beech set,,2026-07-24
13-15m,cat_two_block_towers,longlist,9,Eichhorn 100 Colourful Wooden Blocks,Eichhorn,https://www.amazon.co.uk/dp/B082YN8F54,200,false,,,,,,,,From 1 year,,,good,,,Strong ratings historically,Missed Top 5: Amazon primary fails automated smoke bot-wall gate.,German wood set,,2026-07-24
