age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
22-24m,cat_learning_tower_step_stool,top_pick,1,Tutti Bambini Helping Hands Learning Tower,Tutti Bambini,https://www.tuttibambini.com/products/helping-hands-montessori-toddler-learning-tower-sea-mist,200,true,true,buyable,true,,4.7,120,Tutti Bambini,Ages 2-6 years,pass,,strong,true,,#1: enclosed adjustable; Ages 2-6 overlaps 24m.,,"Little independence at home means standing beside you to tip and stir, not watching from the floor. An enclosed tower keeps that job steadier than a chair. Best when they already ask to help with tea and you want safe counter height.",,2026-07-24
22-24m,cat_learning_tower_step_stool,top_pick,2,hauck Learn N Explore Learning Tower,hauck,https://www.dunelm.com/product/hauck-learn-n-explore-learning-tower-1000249847,200,true,true,buyable,true,,4.5,52,Dunelm,18m+,pass,,good,true,,#2: grow along tower; LTC brand site 429 to bots.,,A grow along tower stretches the years of kitchen help after nearly two. Adjustable height keeps hips safer as they shoot up. Good everyday option when you want enclosed help without a premium convertible price. Keep it nearby so they can choose it themselves.,,2026-07-24
22-24m,cat_learning_tower_step_stool,top_pick,3,IKEA TROGEN Children's Step Stool,IKEA,https://www.ikea.com/gb/en/p/trogen-children-s-step-stool-white-40353767/,200,true,true,buyable,true,,4.7,800,IKEA UK,Ages 1-5,pass,,good,true,,#3: simple step; replaces LTC 429 primary.,,"Near two, help at the sink often starts with a simple step, not a full tower. TROGEN is the cheap first try when kitchen space is tight. Swap up later if they need an enclosed platform. Keep it nearby so they can choose it themselves.",,2026-07-24
22-24m,cat_learning_tower_step_stool,top_pick,4,BabyBjorn Step Stool,BabyBj̦rn,https://www.boots.com/babybjorn-step-stool-white-10220346,200,true,true,buyable,true,,4.7,900,BabyBjorn UK,Ages 1-5,pass,,strong,true,,#4: bathroom step; Boots primary for smoke.,,Not every home needs a full tower; a safe step stool covers sink jobs. Handwashing and toothbrushing become theirs with a small height boost. Best when kitchen help is already sorted and bathroom independence is the next ask. Keep it nearby so they can choose it themselves.,,2026-07-24
22-24m,cat_learning_tower_step_stool,top_pick,5,IKEA FORSIKTIG Children's Stool,IKEA,https://www.ikea.com/gb/en/p/forsiktig-children-s-stool-white-green-60248418/,200,true,true,buyable,true,,4.6,600,IKEA UK,Ages 1-5,pass,,good,true,,#5: second IKEA stool; Maxi-Cosi JL timed out.,,"Near two, a stool they can drag to the sink often beats a big tower in a tiny kitchen. FORSIKTIG is the second IKEA option when TROGEN is out. Keep supervision close at the counter. Keep it nearby so they can choose it themselves.",,2026-07-24
22-24m,cat_learning_tower_step_stool,longlist,1,Tutti Bambini Helping Hands Learning Tower,Tutti Bambini,https://www.tuttibambini.com/products/helping-hands-montessori-toddler-learning-tower-sea-mist,200,true,,,,,4.7,120,,Ages 2-6 years,,,strong,,,#1: enclosed adjustable; Ages 2-6 overlaps 24m.,,#1: enclosed adjustable; Ages 2-6 overlaps 24m.,,2026-07-24
22-24m,cat_learning_tower_step_stool,longlist,2,hauck Learn N Explore Learning Tower,hauck,https://www.dunelm.com/product/hauck-learn-n-explore-learning-tower-1000249847,200,true,,,,,4.5,52,,18m+,,,good,,,#2: grow along tower; LTC brand site 429 to bots.,,#2: grow along tower; LTC brand site 429 to bots.,,2026-07-24
22-24m,cat_learning_tower_step_stool,longlist,3,IKEA TROGEN Children's Step Stool,IKEA,https://www.ikea.com/gb/en/p/trogen-children-s-step-stool-white-40353767/,200,true,,,,,4.7,800,,Ages 1-5,,,good,,,#3: simple step; replaces LTC 429 primary.,,#3: simple step; replaces LTC 429 primary.,,2026-07-24
22-24m,cat_learning_tower_step_stool,longlist,4,BabyBjorn Step Stool,BabyBj̦rn,https://www.boots.com/babybjorn-step-stool-white-10220346,200,true,,,,,4.7,900,,Ages 1-5,,,strong,,,#4: bathroom step; Boots primary for smoke.,,#4: bathroom step; Boots primary for smoke.,,2026-07-24
22-24m,cat_learning_tower_step_stool,longlist,5,IKEA FORSIKTIG Children's Stool,IKEA,https://www.ikea.com/gb/en/p/forsiktig-children-s-stool-white-green-60248418/,200,true,,,,,4.6,600,,Ages 1-5,,,good,,,#5: second IKEA stool; Maxi-Cosi JL timed out.,,#5: second IKEA stool; Maxi-Cosi JL timed out.,,2026-07-24
