age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
25-27m,cat_potty,top_pick,1,BabyBjörn Potty Chair,BabyBjörn,https://www.babybjorn.co.uk/products/bathroom/potty-chair/,200,true,true,buyable,true,,,,,Brand FAQ: many children interested around 18-24 months,pass,,specialist,true,,#1 over #2: high back and arms for first sits; Boots alt buyable.,,Noticing potty signs is quieter than full training: they want to sit and copy. A chair with a back and arms lets them settle without wobbling on a tippy bowl. Supported practice sitting when interest is new and you want a steady first seat.,,2026-07-24
25-27m,cat_potty,top_pick,2,LOCKIG children potty,IKEA,https://www.ikea.com/gb/en/p/lockig-childrens-potty-white-turquoise-40591581/,200,true,true,buyable,true,,4.8,115,IKEA UK reviewCount 115,Recommended for ages from 12 months,pass,,strong,true,,#2: ages from 12 months plus 115 IKEA reviews.,,Early potty practice does not need a premium chair. A simple bowl with a lift out insert keeps cleaning quick after short sits at home. A plain starter when you want to try sitting practice without a big bathroom purchase this month.,,2026-07-24
25-27m,cat_potty,top_pick,3,Bumbo Step 'n' Potty,Bumbo,https://www.boots.com/bumbo-step-n-potty,200,true,true,buyable,true,,4.6,80,Boots/editorial aggregates,Toddler step and potty trainer,pass,,good,true,,#3: dual job; Boots buyable.,,Potty practice and sink help often arrive together just past two. One footprint that flips between sit and step saves clutter in a small bathroom at home. Useful when both jobs are starting and floor space is already full of other kit.,,2026-07-24
25-27m,cat_potty,top_pick,4,BabyBjörn Toilet Training Seat,BabyBjörn,https://www.babybjorn.co.uk/products/bathroom/toilet-training-seat/,200,true,true,buyable,true,,,,,Toilet training seat for toddlers with supervision,pass,,specialist,true,,#4: adult toilet next; second BabyBjörn slot only.,,"Once the potty is a known daily sit, some children want the adult toilet. A child seat on the big toilet is the next sitting job with a steady step nearby for climbing. Second BabyBjorn bathroom piece when the chair is already in use downstairs every day.",,2026-07-24
25-27m,cat_potty,top_pick,5,My Carry Potty Dino,My Carry Potty,https://www.boots.com/my-carry-potty-dino-10285341,200,true,true,buyable,true,,4.8,100,Editorial/retail aggregates,Toddler travel potty once practice has started,pass,,good,true,,#5: travel continuity on Boots after JL availability unknown.,,Days out break potty practice just when it is getting going at home. A sealed carry potty keeps the same sitting job available in the car or at grandparents. Handy when home practice is started and trips need the same familiar seat.,,2026-07-24
25-27m,cat_potty,longlist,1,BabyBjörn Potty Chair,BabyBjörn,https://www.babybjorn.co.uk/products/bathroom/potty-chair/,200,true,,,,,,,,Brand FAQ: many children interested around 18-24 months,,,specialist,,,#1 over #2: high back and arms for first sits; Boots alt buyable.,,Supported first sits.,,2026-07-24
25-27m,cat_potty,longlist,2,LOCKIG children potty,IKEA,https://www.ikea.com/gb/en/p/lockig-childrens-potty-white-turquoise-40591581/,200,true,,,,,4.8,115,,Recommended for ages from 12 months,,,strong,,,#2: ages from 12 months plus 115 IKEA reviews.,,Simple value starter potty.,,2026-07-24
25-27m,cat_potty,longlist,3,Bumbo Step 'n' Potty,Bumbo,https://www.boots.com/bumbo-step-n-potty,200,true,,,,,4.6,80,,Toddler step and potty trainer,,,good,,,#3: dual job; Boots buyable.,,Dual step and potty.,,2026-07-24
25-27m,cat_potty,longlist,4,BabyBjörn Toilet Training Seat,BabyBjörn,https://www.babybjorn.co.uk/products/bathroom/toilet-training-seat/,200,true,,,,,,,,Toilet training seat for toddlers with supervision,,,specialist,,,#4: adult toilet next; second BabyBjörn slot only.,,Adult toilet practice.,,2026-07-24
25-27m,cat_potty,longlist,5,My Carry Potty Dino,My Carry Potty,https://www.boots.com/my-carry-potty-dino-10285341,200,true,,,,,4.8,100,,Toddler travel potty once practice has started,,,good,,,#5: travel continuity on Boots after JL availability unknown.,,Travel continuity.,,2026-07-24
