age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
4-6m,cat_teethers,top_pick,1,Sophie La Girafe Original Teether,Sophie La Girafe,https://www.ocado.com/products/sophie-la-girafe-original-teether/78496011,200,true,true,buyable,true,,4.8,227,John Lewis UK,From birth,pass,,strong,true,,#1 over #2: deepest UK review proof and classic limb chew for this age.,,"Mouthing ramps up hard at four to six months as gums get busy. Soft Sophie legs reach sore spots without hard plastic corners. Wipe clean only, and expect her to live in the changing bag. Keep sessions short and stay within arm reach on the floor.",,2026-07-24
4-6m,cat_teethers,top_pick,2,Matchstick Monkey Original Teether (Mint Green),Matchstick Monkey,https://www.ocado.com/products/matchstick-monkey-original-teether-mint-green/619524011,200,true,true,buyable,true,,4.7,100,Brand/UK retailer aggregates,From 3 months,pass,,strong,true,,#2 over #3: steriliser-friendly silicone beats second Sophie shape for hygiene-led parents.,,Parents who want dishwasher friendly teethers often bounce off Sophie wipe only rules. Matchstick Monkey bumps massage gums and the arms stay grabable when fists are still clumsy. Chill in the fridge if that helps your baby on a sore day.,,2026-07-24
4-6m,cat_teethers,top_pick,3,Sophie la Girafe So Pure Soft Teether,Sophie La Girafe,https://www.coolshop.co.uk/product/sophie-la-girafe-so-pure-teether-soft-200318/A4G7JH/,200,true,true,buyable,true,,4.6,60,UK aggregates,From birth,pass,,good,true,,#3 over #4: clearer teether identity than a mixed gift pack.,,"Not every baby loves the classic giraffe shape. This soft ring keeps Sophie rubber feel with more textures to work along the gum line. Treat it as Sophie number two, not Sophie number three in the same changing bag basket this month.",,2026-07-24
4-6m,cat_teethers,top_pick,4,Playgro Jungle Friends Gift Pack,Playgro,https://www.coolshop.co.uk/product/playgro-jungle-friends-gift-pack-10182436/AD6X5Q/,200,true,true,buyable,true,,4.5,30,Coolshop,0 months+,pass,,good,true,,#4 over #5: more chew pieces than a single clip rattle.,,Teething weeks mean lost teethers under sofas. A pack with several chew links keeps a clean one ready without another emergency shop run. Start with the linking teethers on the mat before adding the soft foot pieces if hands are the main job today.,,2026-07-24
4-6m,cat_teethers,top_pick,5,Lamaze Flip Flap Dragon Rattle,Lamaze,https://www.coolshop.co.uk/product/lamaze-flip-flap-dragon-rattle-941-275651/AM3X6F/,200,true,true,buyable,true,,4.5,35,Coolshop,0 months+,pass,,good,true,,#5: fabric chew companion ranked last behind dedicated teethers.,,Some babies chew fabric as hard as silicone. Flip Flap offers crinkle feet and a soft body when rubber teethers are rejected for an hour. Keep a proper silicone or rubber teether as the main gum tool beside it on the mat.,,2026-07-24
4-6m,cat_teethers,longlist,1,Sophie La Girafe Original Teether,Sophie La Girafe,https://www.ocado.com/products/sophie-la-girafe-original-teether/78496011,200,true,,,,,4.8,227,,From birth,,,strong,,,#1 over #2: deepest UK review proof and classic limb chew for this age.,,#1 over #2: deepest UK review proof and classic limb chew for this age.,Not dishwasher safe.,2026-07-24
4-6m,cat_teethers,longlist,2,Matchstick Monkey Original Teether,Matchstick Monkey,https://www.ocado.com/products/matchstick-monkey-original-teether-mint-green/619524011,200,true,,,,,4.7,100,,From 3 months,,,strong,,,#2 over #3: steriliser-friendly silicone beats second Sophie shape for hygiene-led parents.,,#2 over #3: steriliser-friendly silicone beats second Sophie shape for hygiene-led parents.,From 3 months on listing.,2026-07-24
4-6m,cat_teethers,longlist,3,Sophie la Girafe So Pure Soft Teether,Sophie La Girafe,https://www.coolshop.co.uk/product/sophie-la-girafe-so-pure-teether-soft-200318/A4G7JH/,200,true,,,,,4.6,60,,From birth,,,good,,,#3 over #4: clearer teether identity than a mixed gift pack.,,#3 over #4: clearer teether identity than a mixed gift pack.,Sophie brand cap.,2026-07-24
4-6m,cat_teethers,longlist,4,Playgro Jungle Friends Gift Pack,Playgro,https://www.coolshop.co.uk/product/playgro-jungle-friends-gift-pack-10182436/AD6X5Q/,200,true,,,,,4.5,30,,0 months+,,,good,,,#4 over #5: more chew pieces than a single clip rattle.,,#4 over #5: more chew pieces than a single clip rattle.,Not a single hero teether.,2026-07-24
4-6m,cat_teethers,longlist,5,Lamaze Flip Flap Dragon Rattle,Lamaze,https://www.coolshop.co.uk/product/lamaze-flip-flap-dragon-rattle-941-275651/AM3X6F/,200,true,,,,,4.5,35,,0 months+,,,good,,,#5: fabric chew companion ranked last behind dedicated teethers.,,#5: fabric chew companion ranked last behind dedicated teethers.,Not a primary gum massager.,2026-07-24
4-6m,cat_teethers,longlist,6,Sophie Natural Rubber Teething Ring,Sophie La Girafe,https://www.hamleys.com/sophie-la-girafe-natural-rubber-teething-ring,200,true,,,,,4.6,40,,From birth,,,good,,,Longlist #6,Sophie already two in Top 5.,Simple ring,,2026-07-24
4-6m,cat_teethers,longlist,7,Lamaze Freddie Soft Toy,Lamaze,https://www.johnlewis.com/lamaze-freddie-the-firefly-activity-toy/p109915929,200,true,,,,,4.7,200,,0–12m,,,good,,,Longlist #7,Stronger as reach toy.,Has teether tether,,2026-07-24
4-6m,cat_teethers,longlist,8,Playgro Wrist Rattle and Foot Fingers,Playgro,https://www.coolshop.co.uk/product/playgro-wrist-rattle-and-foot-fingers-10188406/23HW6J/,200,true,,,,,4.5,25,,0m+,,,good,,,Longlist #8,Kick-sock fit stronger.,Mouthable fabrics,,2026-07-24
4-6m,cat_teethers,longlist,9,Lamaze Jacques the Peacock,Lamaze,https://www.coolshop.co.uk/product/lamaze-jacques-peacock-941-27013/AM29SQ/,200,true,,,,,4.5,40,,0m+,,,good,,,Longlist #9,Weaker as dedicated teether.,Textures,,2026-07-24
4-6m,cat_teethers,longlist,10,Oball Rattle,Bright Starts,https://www.hamleys.com/oball-rattle,200,true,,,,,4.4,20,,Not suitable under 3 years,,,reject,,,Longlist #10,Age gate fail + OOS.,Rejected,Under-3 warning,2026-07-24
