age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
16-18m,cat_open_cup,top_pick,1,Doidy Cup,Doidy,https://www.boots.com/doidy-cup-10150006,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,3 months +,pass,,good,true,,#1 over #2: true open rim; Vital Baby is free flow spout.,,"Taking charge at meals at this age often means an open rim, not another valved trainer. The Doidy slant shows the liquid and keeps the sip short. Best when spout cups already live in the cupboard and you want one open cup for supervised table drinks.",,2026-07-24
16-18m,cat_open_cup,top_pick,2,Vital Baby Hydrate Free Flow Cup,Vital Baby,https://vitalbaby.com/products/445081,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,4 months +,pass,,good,true,,#2 over #3: free flow spout job; Tommee Tippee Explora is similar with handles.,,Open rims win at the table; free flow spouts help on short outings without a valve. Vital Baby keeps the flow honest while the flip lid calms bag leaks. Choose when Doidy already covers mealtime and you want a cheap free flow option for the changing bag.,,2026-07-24
16-18m,cat_open_cup,top_pick,3,Tommee Tippee Explora First Cup 2 Pack,Tommee Tippee,https://www.boots.com/tommee-tippee-explora-first-cup-2-pack-10202518,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,4 months +,pass,,good,true,,#3 over #4: two pack value; First Cup single is simpler spare.,,A two pack means one cup at home and one in the bag without hunting lids. Explora free flow stays kinder to gums than hard valves. Best when Vital Baby stock is thin and you want a familiar high street free flow pair.,,2026-07-24
16-18m,cat_open_cup,top_pick,4,Tommee Tippee First Cup,Tommee Tippee,https://www.boots.com/tommee-tippee-first-cup-10202516,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,4 months +,pass,,good,true,,#4 over #5: second Tommee Tippee under brand cap; Miracle 360 is valve.,,Bag days do not always need a second full set on the shelf. This single First Cup covers travel or grandparent visits without another two pack. Choose after Explora already handles the kitchen and you only want one extra spout cup.,,2026-07-24
16-18m,cat_open_cup,top_pick,5,Philips Avent Natural Response Trainer Cup 150ml,Philips Avent,https://www.boots.com/philips-avent-natural-response-trainer-cup-150ml-10275508,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,6 months +,pass,,good,true,,#5: third brand spare after Doidy open and Tommee Tippee free flow pair.,,Brand variety helps when Boots stock of free flow cups runs thin. Avent keeps a soft spout and small capacity for supervised table drinks. Best as a spare trainer path once open Doidy and free flow Explora already cover the main jobs.,,2026-07-24
16-18m,cat_open_cup,longlist,1,Doidy Cup,Doidy,https://www.boots.com/doidy-cup-10150006,200,true,,,,,,,,3 months +,,,good,,,#1 over #2: true open rim; Vital Baby is free flow spout.,,Open rim first cup.,Expect spills; supervise.,2026-07-24
16-18m,cat_open_cup,longlist,2,Vital Baby Hydrate Free Flow Cup,Vital Baby,https://www.superdrug.com/baby/sippy-cups/vital-baby-hydrate-free flow-cup/p/850654,200,true,,,,,,,,4 months +,,,good,,,#2 over #3: free flow spout job; Tommee Tippee Explora is similar with handles.,,Free-flow travel cup.,Not a true open rim.,2026-07-24
16-18m,cat_open_cup,longlist,3,Tommee Tippee Explora First Cup 2 Pack,Tommee Tippee,https://www.boots.com/tommee-tippee-explora-first-cup-2-pack-10202518,200,true,,,,,,,,4 months +,,,good,,,#3 over #4: two pack value; First Cup single is simpler spare.,,Free-flow Explora pair.,Not open rim.,2026-07-24
16-18m,cat_open_cup,longlist,4,Tommee Tippee First Cup,Tommee Tippee,https://www.boots.com/tommee-tippee-first-cup-10202516,200,true,,,,,,,,4 months +,,,good,,,#4 over #5: second Tommee Tippee under brand cap; Miracle 360 is valve.,,Single free flow spare.,Second Tommee Tippee; brand cap full.,2026-07-24
16-18m,cat_open_cup,longlist,5,Philips Avent Natural Response Trainer Cup 150ml,Philips Avent,https://www.boots.com/philips-avent-natural-response-trainer-cup-150ml-10275508,200,true,,,,,,,,6 months +,,,good,,,#5: third brand spare after Doidy open and Tommee Tippee free flow pair.,,Soft spout trainer spare.,Trainer spout; not a true open rim. Check free flow vs valve on the live SKU.,2026-07-24
