age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
34-36m,cat_visual_routine_cards,top_pick,1,Visual Timetable for Children at Home,Create Visual Aids,https://www.amazon.co.uk/Create-Visual-Aids-communication-transition/dp/B093YJ5RL6,200,true,true,buyable,true,,4.7,683,Amazon UK B093YJ5RL6 customer ratings,Ages 2+ parent-setup preschool tool,pass,,strong,true,,#1 over #2: When the whole day wobbles — not just one transition — a ten-step home timetable beats a morning-only board because nearly-threes need the full arc visible in one place.,,"If fridge photos have not stuck, this is the grown-up version — rearrangeable home symbols for shoes, teeth, coat, bag. At nearly three, independence wants a visible plan, not a lecture. Try your own photos first; buy if DIY still fails after a fortnight.",,2026-07-22
34-36m,cat_visual_routine_cards,top_pick,2,Children's Daily Routine Board,Craftly,https://www.craftly.co.uk/products/childrens-daily-routine-board,200,true,true,buyable,true,,5,1,Craftly product page (1 review),Ages 2+ parent-setup preschool tool,pass,,good,true,,#2 over #3: When the pain is specifically morning and bedtime — not every transition — a star-progress AM/PM board beats a two-step Now/Next because the child sees the full wake-up or wind-down arc.,,Prettier than clinic boards — useful when mornings and bedtimes are the only war zones. Stars give a nearly-three a finished-job feeling fridge photos may lack. Try two photos on the bathroom door before spending.,,2026-07-22
34-36m,cat_visual_routine_cards,top_pick,3,"Now, Next Then Visual Timetable",Craftly,https://www.craftly.co.uk/products/now-and-next-visual-routine-board,200,true,true,buyable,true,,5,5,Craftly product page,Ages 2+ parent-setup preschool tool,pass,,good,true,,"#3 over #4: A pocketable Now/Next board wins when one hand-off derails the day — park-to-bath, TV-to-teeth — more than a portable book the child never opens at the door.",,"When the whole day feels like too much, shrink the horizon: Now shoes, Next park. Metal tokens feel more serious than paper — still try fridge photos first. Buy the board plus only the tokens you will use.",,2026-07-22
34-36m,cat_visual_routine_cards,top_pick,4,My Communication Book for Early Years Settings,Create Visual Aids,https://www.amazon.co.uk/Create-Visual-Aids-My-Communication-Book/dp/B0CJ5QXG8L,200,true,true,buyable,true,,4.5,58,Amazon UK B0CJ5QXG8L (cross-listed on Visual Timetable page),Ages 2+ parent-setup preschool tool,pass,,strong,true,,#4 over #5: Portable book beats a custom metal strip when the child needs the same symbols in two homes or at a childminder — wall charts do not travel.,,"Worth it when routines need to travel — childminder days, divorced-household handovers, or a kid who ignores wall charts in rooms they do not own. Heavier than a door strip; skip if one wall chart already works.",,2026-07-22
34-36m,cat_visual_routine_cards,top_pick,5,Bespoke Visual Timetable,Craftly,https://www.craftly.co.uk/products/visual-timetables-to-do-list,200,true,true,buyable,true,,5,11,Craftly product page,Ages 2+ parent-setup preschool tool,pass,,good,true,,#5 below #4: Custom strip is the budget-precision option when you know exactly which three jobs matter — but it loses to the communication book when symbols must leave the house.,,"Pick this when a full 35-card kit is overkill — three or four real jobs, printed on metal so it survives the bathroom. Same photos-first rule: blu-tack trial before checkout.",,2026-07-22
34-36m,cat_visual_routine_cards,longlist,1,Visual Timetable for Children at Home,Create Visual Aids,https://www.amazon.co.uk/Create-Visual-Aids-communication-transition/dp/B093YJ5RL6,200,true,,,,,4.7,683,,Ages 2+ parent-setup preschool tool,,,strong,,,Strongest whole-day evidence and review depth.,,Mainstream UK home timetable with rearrangeable cards.,Generic symbols — photos may still win.,2026-07-22
34-36m,cat_visual_routine_cards,longlist,2,Children's Daily Routine Board,Craftly,https://www.craftly.co.uk/products/childrens-daily-routine-board,200,true,,,,,5,1,,Ages 2+ parent-setup preschool tool,,,good,,,Beats transition-only boards when wake-up and wind-down are the pain points.,,AM/PM star-progress board for morning and bedtime wars.,Thin reviews — specialist exemption on pick.,2026-07-22
34-36m,cat_visual_routine_cards,longlist,3,"Now, Next Then Visual Timetable",Craftly,https://www.craftly.co.uk/products/now-and-next-visual-routine-board,200,true,,,,,5,5,,Ages 2+ parent-setup preschool tool,,,good,,,Now/Next format matches short attention at nearly three.,,Two- or three-step transition board for sticky hand-offs.,Tokens sold separately.,2026-07-22
34-36m,cat_visual_routine_cards,longlist,4,My Communication Book for Early Years Settings,Create Visual Aids,https://www.amazon.co.uk/Create-Visual-Aids-My-Communication-Book/dp/B0CJ5QXG8L,200,true,,,,,4.5,58,,Ages 2+ parent-setup preschool tool,,,strong,,,Only Top 5 pick that travels between homes.,,Portable book when routines move between carers or rooms.,Premium versus a single wall strip.,2026-07-22
34-36m,cat_visual_routine_cards,longlist,5,Bespoke Visual Timetable,Craftly,https://www.craftly.co.uk/products/visual-timetables-to-do-list,200,true,,,,,5,11,,Ages 2+ parent-setup preschool tool,,,good,,,Precision strip for families who know their three non-negotiable jobs.,,Custom-length metal strip when you need fewer steps.,Tokens cost extra.,2026-07-22
