age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
16-18m,cat_soft_graspable_balls,top_pick,1,Scrunch Ball,Scrunch,https://www.adventuretoys.co.uk/scrunch-ball/,200,true,true,buyable,true,,,,Specialist retailer page; aggregate review widget not published on PDP,Toddler soft play ball (packable PVC),pass,,good,true,,#1 over #2: clearest indoor or outdoor chase job that packs flat for bags; silicone activity balls win grip but less hallway roll distance.,,"At sixteen to eighteen months, little adventures often mean a ball that rolls away and invites a toddle after it. Soft Scrunch weight keeps living-room chase kind on shins and shelves. Inflate it for the park bag when the same soft ball needs to travel without filling the boot.",,2026-07-24
16-18m,cat_soft_graspable_balls,top_pick,2,Bigjigs Activity Balls,Bigjigs,https://www.adventuretoys.co.uk/big-jigs-activity-balls/,200,true,true,buyable,true,,,,Specialist retailer PDP,Food-grade silicone activity balls,pass,,good,true,,#2 over #3: stronger grasp and chew job than fabric activity balls; trails Scrunch on long hallway chase distance.,,Busy hands at this age want something to grab as much as something to chase. Nested silicone balls make grasp and squash the game without a hard bounce across the room. Useful when mouthing is still strong and you want a wipe-clean ball that still rolls a short path.,,2026-07-24
16-18m,cat_soft_graspable_balls,top_pick,3,Les Deglingos Melimelos Activity Ball,Les Deglingos,https://toytastic.co.uk/product/les-deglingos-activity-ball-melimelos-the-deer/,200,true,true,buyable,true,,,,Specialist retailer PDP,From birth to around 18 months,pass,,good,true,,#3 over #4: fabric roll plus sensory tags; quieter than Scrunch for flats; trails silicone on wash-and-go grit.,,Soft fabric balls keep chase play quiet when hard toys already fill the floor. Melimelos adds tags and a rattle so the roll still invites a crawl or toddle after it. Fits the upper end of the listed age window for sixteen to eighteen months without jumping to outdoor PVC.,,2026-07-24
16-18m,cat_soft_graspable_balls,top_pick,4,Quercetti Spiral Tower Baby Ball Run,Quercetti,https://toytastic.co.uk/product/quercetti-spiral-tower-06501/,200,true,true,buyable,true,,,,Specialist retailer PDP,1 year +,pass,,good,true,,#4 over #5: includes proper soft graspable balls plus a roll path; Eco+ twin is similar so classic tower wins stock depth.,,Some days chase is across the room; other days the ball needs a short path you can repeat. Large Quercetti balls stay easy to hold while the spiral makes roll and watch the job. Useful when you want soft graspable balls with a clear start and finish rather than open floor scatter alone.,,2026-07-24
16-18m,cat_soft_graspable_balls,top_pick,5,Quercetti Migoga Tower Sound,Quercetti,https://toytastic.co.uk/product/quercetti-migoga-tower-sound/,200,true,true,buyable,true,,,,Specialist retailer PDP,18 months +,pass,,good,true,,#5 completes set: 18m+ sound track for confident end of band; trails Spiral Tower on simpler one-year entry.,,"Eighteen months sits at the top of this band, and sound balls make each roll worth watching again. Migoga Tower Sound keeps balls oversized for toddler hands while the track gives a path you can repeat. Choose when open floor chase already works and you want listening plus rolling in one set.",,2026-07-24
16-18m,cat_soft_graspable_balls,longlist,1,Scrunch Ball,Scrunch,https://www.adventuretoys.co.uk/scrunch-ball/,200,true,,,,,,,,Toddler soft play ball (packable PVC),,,good,,,#1 over #2: clearest indoor or outdoor chase job that packs flat for bags; silicone activity balls win grip but less hallway roll distance.,,"Soft, light, chaseable; fits adventure cluster without sports-ball weight.",Needs inflate; supervise near roads outdoors.,2026-07-24
16-18m,cat_soft_graspable_balls,longlist,2,Bigjigs Activity Balls,Bigjigs,https://www.adventuretoys.co.uk/big-jigs-activity-balls/,200,true,,,,,,,,Food-grade silicone activity balls,,,good,,,#2 over #3: stronger grasp and chew job than fabric activity balls; trails Scrunch on long hallway chase distance.,,Grasp-first soft ball for early toddling.,Shorter roll than a closed soft ball.,2026-07-24
16-18m,cat_soft_graspable_balls,longlist,3,Les Deglingos Melimelos Activity Ball,Les Deglingos,https://toytastic.co.uk/product/les-deglingos-activity-ball-melimelos-the-deer/,200,true,,,,,,,,From birth to around 18 months,,,good,,,#3 over #4: fabric roll plus sensory tags; quieter than Scrunch for flats; trails silicone on wash-and-go grit.,,Soft indoor roll with sensory hooks.,Age window tops out near 18m; watch wear on tags.,2026-07-24
16-18m,cat_soft_graspable_balls,longlist,4,Quercetti Spiral Tower Baby Ball Run,Quercetti,https://toytastic.co.uk/product/quercetti-spiral-tower-06501/,200,true,,,,,,,,1 year +,,,good,,,#4 over #5: includes proper soft graspable balls plus a roll path; Eco+ twin is similar so classic tower wins stock depth.,,Graspable balls with guided roll.,More setup than a single free ball.,2026-07-24
16-18m,cat_soft_graspable_balls,longlist,5,Quercetti Migoga Tower Sound,Quercetti,https://toytastic.co.uk/product/quercetti-migoga-tower-sound/,200,true,,,,,,,,18 months +,,,good,,,#5 completes set: 18m+ sound track for confident end of band; trails Spiral Tower on simpler one-year entry.,,18m+ overlap; oversized balls.,Only overlaps at 18m; younger 16-17m may need help.,2026-07-24
