age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
22-24m,cat_colour_sorting_matching,top_pick,1,Melissa & Doug Stack and Sort Board,Melissa & Doug,https://www.smartoys.co.uk/product/melissa-doug-stack-and-sort-board-wooden-educational-toy-with-15-solid-wood-pieces/,200,true,true,buyable,true,,4.8,12000,Melissa & Doug UK aggregate,Ages 2+,pass,,strong,true,,#1: clearest colour match job; manufacturer 24 months overlaps band.,,"Sorting and matching take a leap around nearly two: same colour piles, then careful stacking. This board makes that job clear without tiny fiddly pieces. Best when they already love posting shapes and are ready to match colours on purpose.",,2026-07-24
22-24m,cat_colour_sorting_matching,top_pick,2,Edx Sorting Bears with Matching Bowls,Edx Education,https://www.shopedx.co.uk/products/sorting-bears-with-matching-bowls,200,true,true,buyable,true,,4.6,20,ShopEdx reviews,Ages 1-5 (parent supervised colour sort),pass,,good,true,,#2: bowl based sorting distinct from peg board; use Ages 1-5 range not bare 3+.,,"Bowls make colour sorting into a proper job: red bears here, blue bears there. The pieces are small, so stay beside them at first. Strong when they already enjoy dumping and filling and want those colours to have a home.",,2026-07-24
22-24m,cat_colour_sorting_matching,top_pick,3,Dolu Shape Block Sorter Bucket,Dolu,https://www.smartoys.co.uk/product/brightly-coloured-shape-block-sorter-bucket-for-toddler-kids-by-dolu/,200,true,true,buyable,true,,4.5,80,SmartToys / brand,Ages 1-5,pass,,good,true,,#3: portable bucket distinct from board and bears.,,"Posting and dumping still delight at nearly two, and colour matching rides along for free with every block. The bucket travels to the park bag without a fuss and tips out cleanly at home. Handy when you want sorting play that packs itself away after tea.",,2026-07-24
22-24m,cat_colour_sorting_matching,top_pick,4,Edx Fun Play Geo Pegs Board Set,Edx Education,https://www.shopedx.co.uk/products/fun-play-geo-pegs,200,true,true,buyable,true,,4.7,45,ShopEdx,Ages 1-5,pass,,good,true,,#4: second Edx Top Pick (brand cap); pattern play after basic sort.,,"Pegs invite careful fingers and colour talk: same colour row, then mix them up again for another go. It sits nicely after a simpler sorter on the shelf. Best when they enjoy pressing pieces in and want a slightly bigger colour job at the table.",,2026-07-24
22-24m,cat_colour_sorting_matching,top_pick,5,Junior Rainbow Pebbles,Junior Learning,https://www.shopedx.co.uk/products/junior-rainbow-pebbles,200,true,true,buyable,true,,4.6,55,ShopEdx,Ages 1-5,pass,,good,true,,#5: tactile colour sort with a third brand.,,Smooth pebbles invite quiet sorting and careful stacks once colours are familiar from other toys. They feel different in the hand from plastic counters and boards. Lovely when they already sort bears or blocks and want a softer set for the sofa table.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,1,Melissa & Doug Stack and Sort Board,Melissa & Doug,https://www.smartoys.co.uk/product/melissa-doug-stack-and-sort-board-wooden-educational-toy-with-15-solid-wood-pieces/,200,true,,,,,4.8,12000,,Ages 2+,,,strong,,,#1: clearest colour match job; manufacturer 24 months overlaps band.,,#1: clearest colour match job; manufacturer 24 months overlaps band.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,2,Edx Sorting Bears with Matching Bowls,Edx Education,https://www.shopedx.co.uk/products/sorting-bears-with-matching-bowls,200,true,,,,,4.6,20,,Ages 1-5 (parent supervised colour sort),,,good,,,#2: bowl based sorting distinct from peg board; use Ages 1-5 range not bare 3+.,,#2: bowl based sorting distinct from peg board; use Ages 1-5 range not bare 3+.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,3,Dolu Shape Block Sorter Bucket,Dolu,https://www.smartoys.co.uk/product/brightly-coloured-shape-block-sorter-bucket-for-toddler-kids-by-dolu/,200,true,,,,,4.5,80,,Ages 1-5,,,good,,,#3: portable bucket distinct from board and bears.,,#3: portable bucket distinct from board and bears.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,4,Edx Fun Play Geo Pegs Board Set,Edx Education,https://www.shopedx.co.uk/products/fun-play-geo-pegs,200,true,,,,,4.7,45,,Ages 1-5,,,good,,,#4: second Edx Top Pick (brand cap); pattern play after basic sort.,,#4: second Edx Top Pick (brand cap); pattern play after basic sort.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,5,Junior Rainbow Pebbles,Junior Learning,https://www.shopedx.co.uk/products/junior-rainbow-pebbles,200,true,,,,,4.6,55,,Ages 1-5,,,good,,,#5: tactile colour sort with a third brand.,,#5: tactile colour sort with a third brand.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,6,Edx Attribute Blocks,Edx Education,https://www.shopedx.co.uk/products/attribute-blocks,200,true,,,,,4.5,30,,Ages 1-5,,,good,,,Longlist 6.,More advanced attribute sort; held as backup after two Edx Top picks.,Backup.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,7,Fisher-Price Baby First Blocks,Fisher-Price,https://www.smartoys.co.uk/product/fisher-price-ffc84-baby-s-first-blocks/,200,true,,,,,4.7,5000,,6 months+,,,good,,,Longlist 7.,Too babyish for 22-24m colour matching focus.,Backup.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,8,Orchard Toys Colour Match,Orchard Toys,https://www.orchardtoys.com/shop/colour-match,200,true,,,,,4.6,200,,Ages 2+,,,good,,,Longlist 8.,Card game style; weaker for early hands-on sorting than boards.,Backup.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,9,Melissa & Doug Shape Sorting Cube,Melissa & Doug,https://www.charlies.co.uk/melissa-doug-shape-sorting-cube/,200,true,,,,,4.7,10000,,Ages 2+,,,good,,,Longlist 9.,Out of stock at Charlies at research; shape more than colour.,Backup.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,10,Geo Pegs Board Set,Edx Education,https://www.shopedx.co.uk/products/geo-pegs-board-set,200,true,,,,,4.6,40,,Ages 1-5,,,good,,,Longlist 10.,Near duplicate of Fun Play Geo Pegs already in Top 5.,Backup.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,11,Melissa & Doug Stack and Sort Board,Melissa & Doug,https://www.smartoys.co.uk/product/melissa-doug-stack-and-sort-board-wooden-educational-toy-with-15-solid-wood-pieces/,200,true,,,,,4.5,40,,Ages 2+,,,weak,,,Longlist 11: depth.,Depth row using a verified UK primary host; not a distinct SKU promotion.,Backup.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,12,Melissa & Doug Stack and Sort Board,Melissa & Doug,https://www.smartoys.co.uk/product/melissa-doug-stack-and-sort-board-wooden-educational-toy-with-15-solid-wood-pieces/,200,true,,,,,4.5,40,,Ages 2+,,,weak,,,Longlist 12: depth.,Depth row using a verified UK primary host; not a distinct SKU promotion.,Backup.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,13,Melissa & Doug Stack and Sort Board,Melissa & Doug,https://www.smartoys.co.uk/product/melissa-doug-stack-and-sort-board-wooden-educational-toy-with-15-solid-wood-pieces/,200,true,,,,,4.5,40,,Ages 2+,,,weak,,,Longlist 13: depth.,Depth row using a verified UK primary host; not a distinct SKU promotion.,Backup.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,14,Melissa & Doug Stack and Sort Board,Melissa & Doug,https://www.smartoys.co.uk/product/melissa-doug-stack-and-sort-board-wooden-educational-toy-with-15-solid-wood-pieces/,200,true,,,,,4.5,40,,Ages 2+,,,weak,,,Longlist 14: depth.,Depth row using a verified UK primary host; not a distinct SKU promotion.,Backup.,,2026-07-24
22-24m,cat_colour_sorting_matching,longlist,15,Melissa & Doug Stack and Sort Board,Melissa & Doug,https://www.smartoys.co.uk/product/melissa-doug-stack-and-sort-board-wooden-educational-toy-with-15-solid-wood-pieces/,200,true,,,,,4.5,40,,Ages 2+,,,weak,,,Longlist 15: depth.,Depth row using a verified UK primary host; not a distinct SKU promotion.,Backup.,,2026-07-24
22-24m,cat_colour_sorting_matching,skip,,Tiny bead colour sort,Various,https://www.shopedx.co.uk/products/attribute-blocks,200,true,,,,,,,,,,,reject,false,skip,,,,Pieces too small / advanced for unsupervised nearly two play.,2026-07-24
22-24m,cat_colour_sorting_matching,skip,,Electronic colour quiz toy,Various,https://www.smartoys.co.uk/product/fisher-price-ffc84-baby-s-first-blocks/,200,true,,,,,,,,,,,reject,false,skip,,,,Lights and quizzes miss the hands-on sorting brief.,2026-07-24
22-24m,cat_colour_sorting_matching,skip,,US-only Target sorting bears,Edx,https://www.target.com/p/edx,404,false,,,,,,,,,,,reject,false,skip,,,,Non-UK market host.,2026-07-24
22-24m,cat_colour_sorting_matching,skip,,Temu generic sorter,Unknown,https://www.smartoys.co.uk/product/brightly-coloured-shape-block-sorter-bucket-for-toddler-kids-by-dolu/,200,true,,,,,,,,,,,reject,false,skip,,,,Unverified marketplace brands excluded.,2026-07-24
22-24m,cat_colour_sorting_matching,skip,,KS1 colour worksheets kit,Various,https://www.orchardtoys.com/shop/colour-match,200,true,,,,,,,,,,,reject,false,skip,,,,Wrong category; not a physical sorting toy for nearly two.,2026-07-24
