age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
13-15m,cat_teddy_care_play,top_pick,1,My First Annabell,Baby Annabell,https://www.elyswimbledon.co.uk/products/baby-annabell-my-first-annabell,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Suitable for 1+,pass,,specialist,true,,#1: clearest care-play doll with 1+ mark.,,"Around the first birthday, copying your day means feeding, wrapping and carrying something soft across the room. This doll is light enough to hug and simple enough that dressing stays a short shared job rather than a fiddly costume change.",,2026-07-24
13-15m,cat_teddy_care_play,top_pick,2,Jellycat Rumpletum Bear,Jellycat,https://www.elyswimbledon.co.uk/products/jellycat-rumpletum-bear,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Suitable from birth,pass,,specialist,true,,#2: teddy care without doll clothes.,,"Not every care game needs a doll face. A proper teddy gives them something to wrap, park in the pram and bring to breakfast, which is the same copying job with less dressing fiddle. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_teddy_care_play,top_pick,3,Jellycat Bumbly Bear,Jellycat,https://www.elyswimbledon.co.uk/products/bumbly-bear-medium,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Suitable from birth,pass,,specialist,true,,#3: second Jellycat slot; classic bear shape.,,Second Jellycat only. Choose medium if they already drag toys room to room; small if you want a soft bear that fits the changing bag for grandparent visits without a second doll. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_teddy_care_play,top_pick,4,Lamaze Freddie the Firefly,Lamaze,https://www.boots.com/lamaze-freddie-the-firefly-10065234,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,From birth,pass,,specialist,true,,#4: soft care companion without JL timeout primary.,,Care play can start with a soft friend that already lives in the bag. Freddie is light to hug and easy to clip to a pushchair after a short indoor route. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_teddy_care_play,top_pick,5,The Buddy Stroller,Lovevery,https://www.lovevery.co.uk/products/the-buddy-stroller,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#5: care mobility; pairs with doll/teddy.,,Care play grows when they can push the friend along like you push the pram. Pair with a soft doll they already own rather than buying both on the same day if the shelf is already full. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_teddy_care_play,longlist,1,My First Annabell,Baby Annabell,https://www.elyswimbledon.co.uk/products/baby-annabell-my-first-annabell,200,true,,,,,,,,Suitable for 1+,,,specialist,,,Top pick #1,,Best first soft doll,,2026-07-24
13-15m,cat_teddy_care_play,longlist,2,Jellycat Rumpletum Bear,Jellycat,https://www.elyswimbledon.co.uk/products/jellycat-rumpletum-bear,200,true,,,,,,,,Suitable from birth,,,specialist,,,Top pick #2,,Best hefty teddy hug,,2026-07-24
13-15m,cat_teddy_care_play,longlist,3,Jellycat Bumbly Bear,Jellycat,https://www.elyswimbledon.co.uk/products/bumbly-bear-medium,200,true,,,,,,,,Suitable from birth,,,specialist,,,Top pick #3,,Best classic soft bear,,2026-07-24
13-15m,cat_teddy_care_play,longlist,4,Baby Annabell Sweetie for Babies,Baby Annabell,https://www.johnlewis.com/baby-annabell-sweetie-for-babies-30cm-soft-doll/p3390000,200,true,,,,,,,,Suitable from birth,,,specialist,,,Top pick #4,,Best Boots soft doll,,2026-07-24
13-15m,cat_teddy_care_play,longlist,5,The Buddy Stroller,Lovevery,https://www.lovevery.co.uk/products/the-buddy-stroller,200,true,,,,,,,,12 months+,,,specialist,,,Top pick #5,,Best push care buddy,,2026-07-24
