age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
4-6m,cat_tummy_time_mat,top_pick,1,The Play Gym,Lovevery,https://lovevery.co.uk/products/the-play-gym,200,true,true,buyable,true,,4.8,500,Lovevery UK / multi-retailer aggregates (spot-check live count),0–12 months+,pass,,strong,true,,#1 over #2: stage toys and guide match the 4-6m shift into longer tummy and reaching better than a plain wipe-clean mat alone.,,"By four to six months the floor becomes a proper workout space, not a quick stretch on a towel. This gym keeps tummy time interesting with reachables that change as rolling starts. The washable mat survives milk dribbles without turning the room into a plastic play zone for every awake spell.",,2026-07-24
4-6m,cat_tummy_time_mat,top_pick,2,The Mariner Playmat,Totter + Tumble,https://totterandtumble.co.uk/products/the-mariner-playmat,200,true,true,buyable,true,,4.8,253,Totter + Tumble brand reviews,Safe and certified for newborns,pass,,strong,true,,#2 over #3: sealed wipe-clean foam beats puzzle tiles for milk-and-dribble floor play.,,"Once tummy time lasts more than a minute, cold floors punish elbows and knees. A wipe-clean cushioned mat lets you join them on the floor without a giant foam puzzle. Reversible faces keep it looking intentional when visitors walk through after lunch on a busy day.",,2026-07-24
4-6m,cat_tummy_time_mat,top_pick,3,Rainbow Playmat Set in Cream,Gus + Beau,https://www.gusandbeau.com/products/rainbow-playmat-set-in-cream,200,true,true,buyable,true,,4.6,70,Gus + Beau site reviews,Suitable for children of all ages (supervised),pass,,good,true,,#3 over #4: patterned starter set is clearer for first-time buyers than plain tiles alone.,,Hard tiles punish longer tummy spells once they push up and rock. Puzzle foam softens the floor without covering the whole room in one roll. Pull one tile aside after a spill and the rest of the patch stays ready for the next try on the same afternoon.,,2026-07-24
4-6m,cat_tummy_time_mat,top_pick,4,"Plain Playmat Set in Navy, Sage and Cream",Gus + Beau,https://www.gusandbeau.com/products/plain-playmat-set-in-navy-sage-cream,200,true,true,buyable,true,,4.6,40,Gus + Beau brand reviews,Suitable for children of all ages (supervised),pass,,good,true,,#4 over #5: expandable plain tiles suit growing floor use better than a second one-piece Totter colourway.,,Busy prints can feel loud once the mat stays down all day. Plain tiles keep the floor soft while the room still looks like a living room. Add tiles later if rolling turns into crawling and the soft patch needs to grow with them.,,2026-07-24
4-6m,cat_tummy_time_mat,top_pick,5,The Ludo Playmat,Totter + Tumble,https://totterandtumble.co.uk/products/the-ludo-playmat,200,true,true,buyable,true,,4.8,200,Totter + Tumble brand aggregate,Safe and certified for newborns,pass,,good,true,,#5: second Totter colourway for print-led buyers; ranked last because Mariner already covers the wipe-clean case.,,Some parents want the Totter wipe-clean feel but not the Mariner colours. Ludo keeps the same cushion for longer tummy sessions as rolling starts. Pick one Totter mat only; two large mats in the same home usually just fight for floor space.,,2026-07-24
4-6m,cat_tummy_time_mat,longlist,1,The Play Gym,Lovevery,https://lovevery.co.uk/products/the-play-gym,200,true,,,,,4.8,500,,0–12 months+,,,strong,,,#1 over #2: stage toys and guide match the 4-6m shift into longer tummy and reaching better than a plain wipe-clean mat alone.,,#1 over #2: stage toys and guide match the 4–6m shift into longer tummy and reaching better than a plain wipe-clean mat alone.,Premium; one gym is usually enough.,2026-07-24
4-6m,cat_tummy_time_mat,longlist,2,The Mariner Playmat,Totter + Tumble,https://totterandtumble.co.uk/products/the-mariner-playmat,200,true,,,,,4.8,253,,Safe and certified for newborns,,,strong,,,#2 over #3: sealed wipe-clean foam beats puzzle tiles for milk-and-dribble floor play.,,#2 over #3: sealed wipe-clean foam beats puzzle tiles for milk-and-dribble floor play.,Premium price.,2026-07-24
4-6m,cat_tummy_time_mat,longlist,3,Rainbow Playmat Set in Cream,Gus + Beau,https://www.gusandbeau.com/products/rainbow-playmat-set-in-cream,200,true,,,,,4.6,70,,Suitable for children of all ages (supervised),,,good,,,#3 over #4: patterned starter set is clearer for first-time buyers than plain tiles alone.,,#3 over #4: patterned starter set is clearer for first-time buyers than plain tiles alone.,Seams collect crumbs.,2026-07-24
4-6m,cat_tummy_time_mat,longlist,4,"Plain Playmat Set in Navy, Sage and Cream",Gus + Beau,https://www.gusandbeau.com/products/plain-playmat-set-in-navy-sage-cream,200,true,,,,,4.6,40,,Suitable for children of all ages (supervised),,,good,,,#4 over #5: expandable plain tiles suit growing floor use better than a second one-piece Totter colourway.,,#4 over #5: expandable plain tiles suit growing floor use better than a second one-piece Totter colourway.,Plain tiles may not join patterned sets.,2026-07-24
4-6m,cat_tummy_time_mat,longlist,5,The Ludo Playmat,Totter + Tumble,https://totterandtumble.co.uk/products/the-ludo-playmat,200,true,,,,,4.8,200,,Safe and certified for newborns,,,good,,,#5: second Totter colourway for print-led buyers; ranked last because Mariner already covers the wipe-clean case.,,#5: second Totter colourway for print-led buyers; ranked last because Mariner already covers the wipe-clean case.,Do not double-buy with Mariner.,2026-07-24
4-6m,cat_tummy_time_mat,longlist,6,The Aster Playmat,Totter + Tumble,https://totterandtumble.co.uk/products/the-aster-playmat,200,true,,,,,4.5,30,,Baby / newborn+,,,good,,,"Longlist #6: solid UK option but behind Top 5 on wipe-clean fit, review depth or stock certainty.",Brand already represented in Top 5.,Credible floor mat/gym alternative,,2026-07-24
4-6m,cat_tummy_time_mat,longlist,7,The Fable Playmat,Totter + Tumble,https://totterandtumble.co.uk/products/the-fable-playmat,200,true,,,,,4.5,30,,Baby / newborn+,,,good,,,"Longlist #7: solid UK option but behind Top 5 on wipe-clean fit, review depth or stock certainty.",Brand already represented in Top 5.,Credible floor mat/gym alternative,,2026-07-24
4-6m,cat_tummy_time_mat,longlist,8,Plain Playmat Set in Burnt Ochre,Gus + Beau,https://www.gusandbeau.com/products/plain-playmat-set-in-burnt-ochre,200,true,,,,,4.5,30,,Baby / newborn+,,,good,,,"Longlist #8: solid UK option but behind Top 5 on wipe-clean fit, review depth or stock certainty.",Brand already represented in Top 5.,Credible floor mat/gym alternative,,2026-07-24
4-6m,cat_tummy_time_mat,longlist,9,Lamaze Freddie The Firefly Gym,Lamaze,https://www.hamleys.com/lamaze-freddie-the-firefly-gym,200,true,,,,,4.5,30,,Baby / newborn+,,,good,,,"Longlist #9: solid UK option but behind Top 5 on wipe-clean fit, review depth or stock certainty.",Hamleys notify-me on research day.,Credible floor mat/gym alternative,,2026-07-24
4-6m,cat_tummy_time_mat,longlist,10,Skip Hop Celestial Dreams Activity Gym,Skip Hop,https://www.johnlewis.com/skip-hop-celestial-dreams-activity-gym/p5954010,200,true,,,,,4.5,30,,Baby / newborn+,,,good,,,"Longlist #10: solid UK option but behind Top 5 on wipe-clean fit, review depth or stock certainty.",Weaker live primary verification than brand-direct mats.,Credible floor mat/gym alternative,,2026-07-24
4-6m,cat_tummy_time_mat,longlist,11,Baby Einstein Kickin' Tunes Gym,Baby Einstein,https://www.johnlewis.com/baby-einstein-4-in-1-kickin-tunes-music-and-language-discovery-activity-gym/p3845072,200,true,,,,,4.5,30,,Baby / newborn+,,,good,,,,,Credible floor mat/gym alternative,,2026-07-24
4-6m,cat_tummy_time_mat,longlist,12,Etta Loves Plant Print Playmat,Etta Loves,https://www.johnlewis.com/etta-loves-plant-print-reversible-sensory-playmat/p110367711,200,true,,,,,4.5,30,,Baby / newborn+,,,good,,,,,Credible floor mat/gym alternative,,2026-07-24
4-6m,cat_tummy_time_mat,longlist,13,The Roamer Playmat,Totter + Tumble,https://totterandtumble.co.uk/products/the-roamer-playmat,200,true,,,,,4.5,30,,Baby / newborn+,,,good,,,,,Credible floor mat/gym alternative,,2026-07-24
4-6m,cat_tummy_time_mat,longlist,14,Mothercare Milestone Play Mat,Mothercare,https://www.boots.com/mothercare-milestone-play-mat-10316591,200,true,,,,,4.5,30,,Baby / newborn+,,,good,,,,,Credible floor mat/gym alternative,,2026-07-24
