age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
22-24m,cat_play_kitchen_household_props,top_pick,1,ELC Wooden Fruit Chopping Board,Early Learning Centre,https://www.smythstoys.com/uk/en-gb/toys/preschool-toys/role-play-and-dress-up/play-kitchens-and-shops/elc-wooden-fruit-chopping-board/p/189194,200,true,true,buyable,true,,4.6,120,Smyths / ELC UK aggregate,Suitable from 18 months,pass,,good,true,,#1: clearest single kitchen job for children who are nearly two; 18m+ mark; small footprint.,,"Pretend play is getting richer around nearly two: chopping, naming and serving, not only stirring a plastic pan. This set keeps the job small and clear, with fruit pieces that stay together until they cut. A gentle first kitchen prop when a full play kitchen still feels huge.",,2026-07-24
22-24m,cat_play_kitchen_household_props,top_pick,2,ELC Wooden Vegetable Chopping Board,Early Learning Centre,https://www.smythstoys.com/uk/en-gb/toys/preschool-toys/role-play-and-dress-up/play-kitchens-and-shops/elc-wooden-vegetable-chopping-board/p/189195,200,true,true,buyable,true,,4.5,85,Smyths / ELC UK aggregate,Suitable from 18 months,pass,,good,true,,#2: second ELC Top Pick (brand cap); adds savoury vocabulary.,,"Once fruit chopping is familiar, vegetables stretch the same kitchen story into dinner and soup. The board stays the same job, so the shift is words and menus, not a new skill. Handy when they already love the fruit board and want a second crate of names.",,2026-07-24
22-24m,cat_play_kitchen_household_props,top_pick,3,Bigjigs Wooden Breakfast Set,Bigjigs Toys,https://www.smythstoys.com/uk/en-gb/toys/preschool-toys/role-play-and-dress-up/play-kitchens-and-shops/bigjigs-toys-breakfast-set/p/189291,200,true,true,buyable,true,,4.7,210,Bigjigs / UK retailer aggregates,Suitable for children from 18 Months +,pass,,strong,true,,#3: distinct breakfast sequence; first non-ELC brand after two chopping boards.,,"Morning routines become stories at nearly two: toast pops, butter spreads, jam goes on. This set turns that everyday sequence into play they can lead. Strong when they already copy breakfast jobs and want their own toaster right beside yours.",,2026-07-24
22-24m,cat_play_kitchen_household_props,top_pick,4,Bigjigs Butchers Crate,Bigjigs Toys,https://www.smythstoys.com/uk/en-gb/toys/preschool-toys/role-play-and-dress-up/play-kitchens-and-shops/bigjigs-toys-butchers-crate/p/160294,200,true,true,buyable,true,,4.6,95,Bigjigs / UK retailer aggregates,Suitable for children from 18 Months +,pass,,good,true,,#4: second Bigjigs Top Pick (brand cap); fills savoury food gap.,,"Shopping and cooking stories need more than fruit once pretend kitchens get busy. This crate adds savoury pieces they can name, tip and serve. Useful when chopping sets are already loved and the missing piece is something to fry or grill.",,2026-07-24
22-24m,cat_play_kitchen_household_props,top_pick,5,Melissa & Doug Food Groups Play Set,Melissa & Doug,https://www.smythstoys.com/uk/en-gb/toys/preschool-toys/role-play-and-dress-up/play-kitchens-and-shops/melissa-doug-food-groups/p/193000,200,true,true,buyable,true,,4.7,1800,Melissa & Doug UK / Amazon aggregate (name hint); primary is Smyths,Ages 2+,pass,,good,true,,#5: food group variety; pans tag was misaligned.,,"Near two, dinner starts sorting into piles: fruit here, bread there, something for teddy. Named food groups give more plate variety without buying a full kitchen unit. Keep it nearby so they can choose it themselves. Share it together for a few minutes, then let them lead.",,2026-07-24
22-24m,cat_play_kitchen_household_props,longlist,1,ELC Wooden Fruit Chopping Board,Early Learning Centre,https://www.smythstoys.com/uk/en-gb/toys/preschool-toys/role-play-and-dress-up/play-kitchens-and-shops/elc-wooden-fruit-chopping-board/p/189194,200,true,,,,,4.6,120,,Suitable from 18 months,,,good,,,#1: clearest single kitchen job for children who are nearly two; 18m+ mark; small footprint.,,Chop-and-serve pretend matches richer household play.,,2026-07-24
22-24m,cat_play_kitchen_household_props,longlist,2,ELC Wooden Vegetable Chopping Board,Early Learning Centre,https://www.smythstoys.com/uk/en-gb/toys/preschool-toys/role-play-and-dress-up/play-kitchens-and-shops/elc-wooden-vegetable-chopping-board/p/189195,200,true,,,,,4.5,85,,Suitable from 18 months,,,good,,,#2: second ELC Top Pick (brand cap); adds savoury vocabulary.,,Extends food naming in kitchen pretend.,,2026-07-24
22-24m,cat_play_kitchen_household_props,longlist,3,Bigjigs Wooden Breakfast Set,Bigjigs Toys,https://www.smythstoys.com/uk/en-gb/toys/preschool-toys/role-play-and-dress-up/play-kitchens-and-shops/bigjigs-toys-breakfast-set/p/189291,200,true,,,,,4.7,210,,Suitable for children from 18 Months +,,,strong,,,#3: distinct breakfast sequence; first non-ELC brand after two chopping boards.,,Daily breakfast sequence pretend.,,2026-07-24
22-24m,cat_play_kitchen_household_props,longlist,4,Bigjigs Butchers Crate,Bigjigs Toys,https://www.smythstoys.com/uk/en-gb/toys/preschool-toys/role-play-and-dress-up/play-kitchens-and-shops/bigjigs-toys-butchers-crate/p/160294,200,true,,,,,4.6,95,,Suitable for children from 18 Months +,,,good,,,#4: second Bigjigs Top Pick (brand cap); fills savoury food gap.,,Savoury food props for kitchen stories.,,2026-07-24
22-24m,cat_play_kitchen_household_props,longlist,5,Melissa & Doug Food Groups Play Set,Melissa & Doug,https://www.smythstoys.com/uk/en-gb/toys/preschool-toys/role-play-and-dress-up/play-kitchens-and-shops/melissa-doug-food-groups/p/193000,200,true,,,,,4.7,1800,,Ages 2+,,,good,,,#5: brand-diverse food depth; Ages 2+ overlaps band max at 24m.,,Named food variety for richer pretend meals.,,2026-07-24
