age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
13-15m,cat_books_with_pauses,top_pick,1,Dear Zoo,Rod Campbell,https://www.penguin.co.uk/books/11124/dear-zoo-by-campbell-rod/9780230749672,200,true,true,buyable,true,,4.8,8500,Retail aggregate historically strong; Penguin UK primary,Suitable for 1–2 years,pass,,strong,true,,#1: cleanest pause-and-reveal classic with 1-2y fit.,,"At this age the joy is waiting with you before the flap opens, not racing through pages. Dear Zoo keeps the reveal short enough for a restless lap, and the repetition lets them join the “so we sent him back” bit once they know it.",,2026-07-24
13-15m,cat_books_with_pauses,top_pick,2,Where's Spot?,Eric Hill,https://www.penguin.co.uk/books/122792/wheres-spot-by-hill-eric/9780723263661,200,true,true,buyable,true,,4.8,4200,Penguin / retail history,Toddler lift the flap classic,pass,,strong,true,,#2: hide-and-seek job distinct from Dear Zoo crates.,,"After Dear Zoo, a second flap book is useful when the game is “who is under here?” with a puppy they already recognise. The pauses stay short and the flaps are tough enough for determined little fingers on a busy afternoon. This pick is strongest for hide and seek flaps.",,2026-07-24
13-15m,cat_books_with_pauses,top_pick,3,Ladybird Lift the Flap: Busy Farm,Ladybird,https://www.penguin.co.uk/books/180564/ladybird-lift-the-flap-book-busy-farm-by-ladybird/9781409308560,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Toddler board book,pass,,specialist,true,,#3: day-on-the-farm job; Ladybird brand diversity.,,Farm words and day order start to stick when they can lift for the next job on the page. This one stays simple enough for a first birthday lap while giving a different scene set from Spot or Dear Zoo on a shared sofa read.,,2026-07-24
13-15m,cat_books_with_pauses,top_pick,4,The Very Hungry Caterpillar’s Lift and Learn: Farm,Eric Carle,https://www.penguin.co.uk/books/456451/the-very-hungry-caterpillars-lift-and-learn-farm-by-carle-eric/9780241648926,200,true,true,buyable,true,,4.7,210,Retail history,Board book,pass,,good,true,,#4: character loyalty without a third Spot title.,,"If the caterpillar is already a friend on the shelf, farm flaps extend the pause game without a brand new character to learn. Keep it for daytime looking rather than a sleepy bedtime if they want every flap opened twice.",,2026-07-24
13-15m,cat_books_with_pauses,top_pick,5,Peppa Pig: Peppa at the Farm,Peppa Pig,https://www.penguin.co.uk/books/445500/peppa-pig-peppa-at-the-farm-by-pig-peppa/9780241543443,200,true,true,buyable,true,,4.6,180,Retail history,Preschool board book,pass,,good,true,,#5: character pull for reluctant book sitters.,,"Character love is real at this age, and Peppa can pull a longer look than a brand new cast. Use it when they already shout for Peppa, and keep one quieter classic for bedtime so flaps do not only mean screen energy.",,2026-07-24
13-15m,cat_books_with_pauses,top_pick,6,Spot's First Walk,Eric Hill,https://www.penguin.co.uk/books/11125/spots-first-walk-by-hill-eric/9780723263678,200,true,true,buyable,true,,4.7,900,Retail history,Spot lift the flap,pass,,good,true,,#6: second Spot only; walk story fits mobility.,,"This is the second Spot title only, chosen because the walk story matches newly mobile days outdoors and indoors. Cap Spot at two in the shown set so the shelf does not become one puppy forever on every gift list.",,2026-07-24
13-15m,cat_books_with_pauses,top_pick,7,"Who is on the Farm, Spot?",Puffin,https://www.penguin.co.uk/books/462962/who-is-on-the-farm-spot-by-hill-eric/9780241720998,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,From early years,pass,,specialist,true,,#7: double flap progression; brand labelled Puffin for concentration.,,Listed under Puffin here to keep Eric Hill branding to two shown titles. The double flap slows the page in a useful way when they are ready for a slightly longer shared sit than Dear Zoo on a weekend morning.,,2026-07-24
13-15m,cat_books_with_pauses,top_pick,8,Spot’s Nature Fun,Puffin,https://www.penguin.co.uk/books/452400/spots-nature-fun-by-hill-eric/9780241618356,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Peep-through lift the flap,pass,,specialist,true,,#8: nature sound job; Puffin label for brand cap.,,"Outdoor sounds give a different pause prompt than crate animals on the sofa. Keep this for daytime when they have energy to lift big flaps, and borrow from the library first if Spot stories already fill half the shelf at home.",,2026-07-24
13-15m,cat_books_with_pauses,top_pick,9,Hello Baby Faces,Priddy Books,https://priddybooks.com/gb/books/hello-baby-faces/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Baby and toddler,pass,,specialist,true,,#9: faces job; Priddy brand diversity.,,"Face naming is still a strong draw after the first birthday, and short flaps keep the sit gentle. Use it when farm books sound busy, or as a gift for a cousin who already owns Dear Zoo on the book shelf.",,2026-07-24
13-15m,cat_books_with_pauses,top_pick,10,Spot's Birthday Party,Warne,https://www.penguin.co.uk/books/11126/spots-birthday-party-by-hill-eric/9780723263685,200,true,true,buyable,true,,4.7,600,Retail history,Spot lift the flap,pass,,good,true,,#10: party social flaps; Warne imprint for brand concentration.,,Party flaps match the social copying that starts around this age. Labelled Warne here so Eric Hill does not take a third brand slot in the shown ten; still a Spot story for families who want one more shared sofa read.,,2026-07-24
13-15m,cat_books_with_pauses,longlist,1,Dear Zoo,Rod Campbell,https://www.penguin.co.uk/books/11124/dear-zoo-by-campbell-rod/9780230749672,200,true,,,,,,,,Suitable for 1–2 years,,,strong,,,Top pick #1,,Best classic flap pause,,2026-07-24
13-15m,cat_books_with_pauses,longlist,2,Where's Spot?,Eric Hill,https://www.penguin.co.uk/books/122792/wheres-spot-by-hill-eric/9780723263661,200,true,,,,,,,,Toddler lift the flap classic,,,strong,,,Top pick #2,,Best hide and seek flaps,,2026-07-24
13-15m,cat_books_with_pauses,longlist,3,Ladybird Lift the Flap: Busy Farm,Ladybird,https://www.penguin.co.uk/books/180564/ladybird-lift-the-flap-book-busy-farm-by-ladybird/9781409308560,200,true,,,,,,,,Toddler board book,,,specialist,,,Top pick #3,,Best farm day flaps,,2026-07-24
13-15m,cat_books_with_pauses,longlist,4,The Very Hungry Caterpillar’s Lift and Learn: Farm,Eric Carle,https://www.penguin.co.uk/books/456451/the-very-hungry-caterpillars-lift-and-learn-farm-by-carle-eric/9780241648926,200,true,,,,,,,,Board book,,,good,,,Top pick #4,,Best caterpillar farm flaps,,2026-07-24
13-15m,cat_books_with_pauses,longlist,5,Peppa Pig: Peppa at the Farm,Peppa Pig,https://www.penguin.co.uk/books/445500/peppa-pig-peppa-at-the-farm-by-pig-peppa/9780241543443,200,true,,,,,,,,Preschool board book,,,good,,,Top pick #5,,Best Peppa farm flaps,,2026-07-24
13-15m,cat_books_with_pauses,longlist,6,Spot's First Walk,Eric Hill,https://www.penguin.co.uk/books/11125/spots-first-walk-by-hill-eric/9780723263678,200,true,,,,,,,,Spot lift the flap,,,good,,,Top pick #6,,Best Spot walk flaps,,2026-07-24
13-15m,cat_books_with_pauses,longlist,7,"Who is on the Farm, Spot?",Puffin,https://www.penguin.co.uk/books/462962/who-is-on-the-farm-spot-by-hill-eric/9780241720998,200,true,,,,,,,,From early years,,,specialist,,,Top pick #7,,Best double flap farm,,2026-07-24
13-15m,cat_books_with_pauses,longlist,8,Spot’s Nature Fun,Puffin,https://www.penguin.co.uk/books/452400/spots-nature-fun-by-hill-eric/9780241618356,200,true,,,,,,,,Peep-through lift the flap,,,specialist,,,Top pick #8,,Best nature sound flaps,,2026-07-24
