age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
34-36m,cat_fixture_bad,top_pick,1,Bad Fixture Product 1,Ember Fixture,https://www.gov.uk/,,false,false,4.6,42,Fixture,Ages 2–5,pass,,good,false,rank_rationale_missing|age_signals_missing|url_verification_missing,,,Why Pip picked fixture 1: stage fit for nearly three talk-back without catalogue speak.,,2026-07-22
34-36m,cat_fixture_bad,top_pick,2,Bad Fixture Product 2,Ember Fixture,https://www.gov.uk/browse/childcare-parenting,,false,false,4.6,42,Fixture,Ages 2–5,pass,,good,false,rank_rationale_missing|age_signals_missing|url_verification_missing,,,Why Pip picked fixture 2: stage fit for nearly three talk-back without catalogue speak.,,2026-07-22
34-36m,cat_fixture_bad,top_pick,3,Bad Fixture Product 3,Ember Fixture,https://www.gov.uk/child-car-seats-the-rules,,false,false,4.6,42,Fixture,Ages 2–5,pass,,good,false,rank_rationale_missing|age_signals_missing|url_verification_missing,,,Why Pip picked fixture 3: stage fit for nearly three talk-back without catalogue speak.,,2026-07-22
34-36m,cat_fixture_bad,top_pick,4,Bad Fixture Product 4,Ember Fixture,https://www.gov.uk/help,,false,false,4.6,42,Fixture,Ages 2–5,pass,,good,false,rank_rationale_missing|age_signals_missing|url_verification_missing,,,Why Pip picked fixture 4: stage fit for nearly three talk-back without catalogue speak.,,2026-07-22
34-36m,cat_fixture_bad,top_pick,5,Bad Fixture Product 5,Ember Fixture,https://www.gov.uk/search/all,,false,false,4.6,42,Fixture,Ages 2–5,pass,,good,false,rank_rationale_missing|age_signals_missing|url_verification_missing,,,Why Pip picked fixture 5: stage fit for nearly three talk-back without catalogue speak.,,2026-07-22
34-36m,cat_fixture_bad,longlist,1,Bad Fixture Product 1,Ember Fixture,https://www.gov.uk/,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 1 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,2,Bad Fixture Product 2,Ember Fixture,https://www.gov.uk/browse/childcare-parenting,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 2 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,3,Bad Fixture Product 3,Ember Fixture,https://www.gov.uk/child-car-seats-the-rules,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 3 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,4,Bad Fixture Product 4,Ember Fixture,https://www.gov.uk/help,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 4 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,5,Bad Fixture Product 5,Ember Fixture,https://www.gov.uk/search/all,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 5 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,6,Bad Fixture Product 6,Ember Fixture,https://www.gov.uk/,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 6 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,7,Bad Fixture Product 7,Ember Fixture,https://www.gov.uk/browse/childcare-parenting,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 7 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,8,Bad Fixture Product 8,Ember Fixture,https://www.gov.uk/child-car-seats-the-rules,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 8 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,9,Bad Fixture Product 9,Ember Fixture,https://www.gov.uk/help,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 9 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,10,Bad Fixture Product 10,Ember Fixture,https://www.gov.uk/search/all,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 10 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,11,Bad Fixture Product 11,Ember Fixture,https://www.gov.uk/,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 11 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,12,Bad Fixture Product 12,Ember Fixture,https://www.gov.uk/browse/childcare-parenting,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 12 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,13,Bad Fixture Product 13,Ember Fixture,https://www.gov.uk/child-car-seats-the-rules,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 13 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,14,Bad Fixture Product 14,Ember Fixture,https://www.gov.uk/help,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 14 summary.,,2026-07-22
34-36m,cat_fixture_bad,longlist,15,Bad Fixture Product 15,Ember Fixture,https://www.gov.uk/search/all,,,,4.5,20,,Ages 2–5,,,good,,,,,Longlist 15 summary.,,2026-07-22
34-36m,cat_fixture_bad,skip,,Skipped Fixture 1,Skip Co,https://www.gov.uk/,,,,,,,Ages 5+,,,reject,false,skip,,,,Skipped fixture 1: wrong age or category for the brief.,2026-07-22
34-36m,cat_fixture_bad,skip,,Skipped Fixture 2,Skip Co,https://www.gov.uk/browse/childcare-parenting,,,,,,,Ages 5+,,,reject,false,skip,,,,Skipped fixture 2: wrong age or category for the brief.,2026-07-22
34-36m,cat_fixture_bad,skip,,Skipped Fixture 3,Skip Co,https://www.gov.uk/child-car-seats-the-rules,,,,,,,Ages 5+,,,reject,false,skip,,,,Skipped fixture 3: wrong age or category for the brief.,2026-07-22
34-36m,cat_fixture_bad,skip,,Skipped Fixture 4,Skip Co,https://www.gov.uk/help,,,,,,,Ages 5+,,,reject,false,skip,,,,Skipped fixture 4: wrong age or category for the brief.,2026-07-22
34-36m,cat_fixture_bad,skip,,Skipped Fixture 5,Skip Co,https://www.gov.uk/search/all,,,,,,,Ages 5+,,,reject,false,skip,,,,Skipped fixture 5: wrong age or category for the brief.,2026-07-22
