age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
25-27m,cat_bedtime_board_books,top_pick,1,Ten Minutes to Bed: Little Unicorn,Rhiannon Fielding,https://www.penguin.co.uk/books/312671/ten-minutes-to-bed-little-unicorn-by-fielding-rhiannon/9780241348918,200,true,true,buyable,true,,,,,18 months+ commonly listed,pass,,specialist,true,,#1: strongest familiar countdown steps; 18m+ overlap.,,"Just past two, bedtime works better with steps they can join than a brand new plot. Count the minutes, pause for one last job, then close. Start here when you want a short wind down they already recognise from last night.",,2026-07-24
25-27m,cat_bedtime_board_books,top_pick,2,Ten Minutes to Bed: Little Dinosaur,Rhiannon Fielding,https://www.penguin.co.uk/books/312672/ten-minutes-to-bed-little-dinosaur-by-fielding-rhiannon/9780241532676,200,true,true,buyable,true,,,,,18 months+ commonly listed,pass,,specialist,true,,#2: same countdown pattern; second Fielding slot.,,"Once the unicorn countdown is known, a dinosaur swap keeps the same steps without inventing a new routine. Count the minutes, pause for one last job, then close. Second Fielding only when Little Unicorn is already the house wind down.",,2026-07-24
25-27m,cat_bedtime_board_books,top_pick,3,Goodnight Moon,Margaret Wise Brown,https://www.penguin.co.uk/books/108935/goodnight-moon-by-brown-margaret-wise/9781509831975,200,true,true,buyable,true,,,,,18 months+ commonly listed,pass,,specialist,true,,#3: classic goodnight naming round.,,"Just past two, a predictable goodnight round settles the room better than a surprise ending. Name each thing, wait for a point, then close. Keep this when the countdown books get too busy after a long day at home tonight.",,2026-07-24
25-27m,cat_bedtime_board_books,top_pick,4,Guess How Much I Love You,Sam McBratney,https://uk.bookshop.org/p/books/guess-how-much-i-love-you-sam-mcbratney/9781406359781,200,true,true,buyable,true,,,,,Toddler to early years; overlaps this band,pass,,specialist,true,,#4: love you closer after steps.,,"Some nights need a love you closer more than a countdown. Trade one bigger love you, wait for a lean in, then lights out. Soft close when the countdown books already covered the wind down steps tonight at home together.",,2026-07-24
25-27m,cat_bedtime_board_books,top_pick,5,Goodnight Gorilla,Peggy Rathmann,https://uk.bookshop.org/p/books/goodnight-gorilla-peggy-rathmann/9781909263499,200,true,true,buyable,true,,,,,Toddler picture book; overlaps this band,pass,,specialist,true,,#5: quiet goodnight sequence; Peggy Rathmann first slot.,,"Just past two, a quiet goodnight chase can still work as a routine if you name each stop. Point, whisper goodnight, then turn. Useful when they want a gentle giggle without a long spoken plot before sleep tonight at home.",,2026-07-24
25-27m,cat_bedtime_board_books,top_pick,6,The Going to Bed Book,Sandra Boynton,https://www.penguin.co.uk/books/305833/the-going-to-bed-book-by-boynton-sandra/9780689847127,200,true,true,buyable,true,,,,,Board book for toddlers,pass,,specialist,true,,#6: plain going to bed sequence; Boynton first slot.,,"Bedtime just past two needs steps they can copy: bath, brush, bed. Read one step, wait for a mime, then turn. Good when countdown stories are already known and you want a plainer sequence on the sofa tonight together at home.",,2026-07-24
25-27m,cat_bedtime_board_books,top_pick,7,Time for Bed,Mem Fox,https://www.penguin.co.uk/books/111646/time-for-bed-by-mem-fox/9780152010485,200,true,true,buyable,true,,,,,Toddler bedtime board/picture book,pass,,specialist,true,,#7: repeated time for bed line; Mem Fox first slot.,,"Some nights only need the same soft line repeated until they settle. Read one animal page, wait for a yawn cue, then turn. Soft close when the house already did bath and brush without a story fight tonight at home.",,2026-07-24
25-27m,cat_bedtime_board_books,top_pick,8,On the Night You Were Born,Nancy Tillman,https://uk.bookshop.org/p/books/on-the-night-you-were-born-nancy-tillman/9780312601553,200,true,true,buyable,true,,,,,Toddler to early years; overlaps this band,pass,,specialist,true,,#8: birth night love closer; Nancy Tillman first slot.,,"Some bedtimes want a you are loved closer more than a countdown. Stay on one night page, name the love cue, wait for a lean in, then lights out. Soft close after the familiar wind down steps are already done.",,2026-07-24
25-27m,cat_bedtime_board_books,top_pick,9,Peace at Last,Jill Murphy,https://uk.bookshop.org/p/books/peace-at-last-jill-murphy/9781509862726,200,true,true,buyable,true,,,,,Picture book; early years overlap,pass,,specialist,true,,#9: noisy house to quiet; Jill Murphy first slot.,,"Just past two, naming the noises that keep sleep away can settle a restless night. Pause on each noise, wait for a matching sound or a giggle, then turn toward quiet. Useful after a loud day when silence needs a story frame.",,2026-07-24
25-27m,cat_bedtime_board_books,top_pick,10,"Can't You Sleep, Little Bear?",Martin Waddell,https://uk.bookshop.org/p/books/can-t-you-sleep-little-bear-martin-waddell/9780744578362,200,true,true,buyable,true,,,,,Picture book; early years overlap,pass,,specialist,true,,#10: dark worry with a helper; Martin Waddell first slot.,,"Fear of the dark often lands just past two. Stay with Big Bear as the light gets bigger, wait for a nod, then close. Soft close when the countdown books already handled the wind down and only the dark worry remains.",,2026-07-24
