age_band_id,age_band_label,min_months,max_months,age_band_is_active,stage1_wrapper_ux_slug,stage1_wrapper_ux_label,stage1_wrapper_rank_in_band,stage1_mapping_is_active,development_need_slug,development_need_canonical_name,stage1_why_it_matters_ux_description,stage2_category_type_slug,stage2_category_type_label,stage2_category_type_name,stage2_play_ideas_rank,stage2_play_idea_mapping_rationale,stage3_product_name,stage3_product_brand,stage3_product_rank_in_category,stage3_product_mapping_rationale,optional_need_meta_stage_anchor_month,optional_need_meta_stage_phase,optional_need_meta_stage_reason,optional_category_image_url,optional_category_safety_notes,ref_ux_wrapper_uuid,ref_development_need_uuid,ref_category_type_uuid,ref_product_uuid
25-27m,25–27 months,25,27,true,gross-motor-skills-and-physical-confidence,Burn energy,4,true,gross-motor-skills-and-physical-confidence,Gross motor skills and physical confidence,"Running, jumping, kicking balls, climbing stairs, and moving with increasing coordination and control.",ride-on-cars-push-cars,Ride-on cars and push cars,Ride-on cars and push cars,1,Ride-on toys highly recommended for 2-year-olds as they master running and directional movement.,Dolu Foot To Floor Ride-On Car - White,Dolu,1,"Ride-on toys highly recommended for 2-year-olds as they master running and directional movement. | Product note: Suitable for 1 year and over, foot-to-floor, push-along with storage. | Suitable for 1 year and over, foot-to-floor, push-along with storage.",26,consolidating,"Children at 24 months can run and kick balls; by 30 months most can jump with both feet, showing steady progression.",,,02fe028e-6ca2-4795-9f34-54cbd5d4fb1e,624b44c0-8c09-4b4f-8a42-3f8d7eebedd1,00524b95-fd21-4fd9-9d1a-e2fa3f62a0f8,3f1728c1-eabf-4d12-b2e1-4948f64de87f
25-27m,25–27 months,25,27,true,fine-motor-control-and-hand-coordination,Little hands,3,true,fine-motor-control-and-hand-coordination,Fine motor control and hand coordination,"Using both hands together for tasks, manipulating small objects, turning pages, and operating buttons and switches.",wooden-train-sets,Wooden train sets,Wooden train sets,3,Train sets combine construction of tracks with pretend play scenarios around age 2.,Happyland Magic Motion Train Playset,Happyland,1,Train sets combine construction of tracks with pretend play scenarios around age 2. | Product note: Promotes imaginative play and fine motor skills. | Promotes imaginative play and fine motor skills.,26,consolidating,At 24 months children hold containers while removing lids; by 30 months they twist doorknobs and turn pages individually.,,,f14e4f09-7208-4594-a98c-ab70978e8bbb,77ad1203-7b23-41fe-825f-e4ca5eb53396,08de8354-610a-44b7-ba27-bd8c015e41d7,c9672580-b785-4451-8321-f202c3444682
25-27m,25–27 months,25,27,true,color-and-shape-recognition,Shapes & colours,12,true,color-and-shape-recognition,Color and shape recognition,Beginning to identify and name colors and shapes in their environment.,animal-figures-playsets,Animal figures and playsets,Animal figures and playsets,3,Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood.,Fisher-Price Little People Farm Animal Friends Figure Pack,Fisher-Price,1,Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood. | Product note: Encourages imaginative play and learning about farm animals. | Encourages imaginative play and learning about farm animals.,27,emerging,"Color recognition typically emerges around 30 months, making 27 months an early emerging stage for this skill.",,,de98fa95-c3e0-4830-a92d-5ef97f4bc4ba,85b9c463-4fe6-40b6-9639-8ca6743a2a7a,0ed87c39-af68-45f3-978e-911fdd8214ae,8f571992-0905-4215-a9bf-9cb504e6d433
25-27m,25–27 months,25,27,true,emotional-regulation-and-self-awareness,Big feelings,2,true,emotional-regulation-and-self-awareness,Emotional regulation and self-awareness,"Experiencing and expressing a wide range of emotions, developing empathy, and beginning to understand own feelings.",picture-books-board-books,Picture books and board books,Picture books and board books,3,Book sharing supports vocabulary growth and becomes more interactive with questions around age 2.,Igloo Books Noisy Farm 50 Sounds Kids Picture Book,Igloo Books,1,"Book sharing supports vocabulary growth and becomes more interactive with questions around age 2. | Product note: Discover 50 farm sounds in this exciting book, with lots of buttons to press and animals to meet. Colourful scenes with search-and-find activities inside. Children will learn to recognise animals and sounds. | Discover 50 farm sounds in this exciting book, with lots of buttons to press and animals to meet. Colourful scenes with search-and-find activities inside. Children will learn to recognise animals and sounds.",26,emerging,Two-year-olds show broad emotional range but limited impulse control; empathy is emerging but self-regulation still developing.,,,e6baa2ab-c35d-4420-8136-d8ddbf9da787,d2638c0e-01a5-4a52-8db9-088ec44df573,1f556dbb-772f-48d3-b52d-755c809f04af,9cd865fe-f415-4864-ace5-5122dda7ac18
25-27m,25–27 months,25,27,true,emotional-regulation-and-self-awareness,Big feelings,2,true,emotional-regulation-and-self-awareness,Emotional regulation and self-awareness,"Experiencing and expressing a wide range of emotions, developing empathy, and beginning to understand own feelings.",play-dough-modeling-clay,Play dough and modeling clay,Play dough and modeling clay,3,Play dough supports hand strength and creative expression while offering calming sensory input.,DAS 1kg Modelling Clay: White,DAS,1,"Play dough supports hand strength and creative expression while offering calming sensory input. | Product note: Air-drying clay that is easy to smooth and shape, offering a different sensory experience to play dough. Suitable for all ages with supervision. | Air-drying clay that is easy to smooth and shape, offering a different sensory experience to play dough. Suitable for all ages with supervision.",26,emerging,Two-year-olds show broad emotional range but limited impulse control; empathy is emerging but self-regulation still developing.,,,e6baa2ab-c35d-4420-8136-d8ddbf9da787,d2638c0e-01a5-4a52-8db9-088ec44df573,2cf133ce-6299-4ecd-8534-03da351b99e7,2d498be4-99db-429c-8317-5a864a2525d6
25-27m,25–27 months,25,27,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,8,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,"Figuring out how things work, following simple instructions, and using tools or strategies to reach goals.",interactive-learning-toys,Interactive learning toys,Interactive learning toys,2,Interactive toys support emerging language and early learning concepts around age 2.,Learning Resources Spike The Fine Motor Hedgehog,Learning Resources,1,"Interactive toys support emerging language and early learning concepts around age 2. | Product note: Develops fine motor skills, hand-eye coordination, and grip control as children place and remove the peg-shaped quills. Also helps with color recognition and counting. | Develops fine motor skills, hand-eye coordination, and grip control as children place and remove the peg-shaped quills. Also helps with color recognition and counting.",26,consolidating,At 24 months children use switches and buttons; by 30 months they follow two-step instructions and solve simple problems.,,,61474530-0e58-4a70-8bab-48d4071bdcfa,e7861d0f-7f1a-4cf3-a185-64aaf801805a,343dc6b3-08a9-47ce-a6a7-66306fb4773b,cd7f6fb6-7319-4dc5-ac4a-6c961d3e701b
25-27m,25–27 months,25,27,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,8,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,"Figuring out how things work, following simple instructions, and using tools or strategies to reach goals.",sorting-matching-toys,Sorting and matching toys,Sorting and matching toys,2,Sorting and matching skills emerge as color recognition begins around 27-30 months.,Fisher-Price Wooden Stack & Sort Animals 10 Piece Toy,Fisher-Price,1,"Sorting and matching skills emerge as color recognition begins around 27-30 months. | Product note: Develops fine motor skills, hand-eye coordination, and problem-solving through stacking and sorting. | Develops fine motor skills, hand-eye coordination, and problem-solving through stacking and sorting.",26,consolidating,At 24 months children use switches and buttons; by 30 months they follow two-step instructions and solve simple problems.,,,61474530-0e58-4a70-8bab-48d4071bdcfa,e7861d0f-7f1a-4cf3-a185-64aaf801805a,36e74bc3-7eb5-45cf-b1e6-37fdfb86fdf0,3e63d3b6-677c-463d-8dfc-e252d83a1777
25-27m,25–27 months,25,27,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,8,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,"Figuring out how things work, following simple instructions, and using tools or strategies to reach goals.",sand-water-play-toys,Sand and water play toys,Sand and water play toys,2,Sand and water play support sensory exploration and parallel/cooperative play at age 2.,Chad Valley Sand and Water Table,Chad Valley,1,"Sand and water play support sensory exploration and parallel/cooperative play at age 2. | Product note: Affordable and sturdy, with two compartments for sand and water, promoting sensory play. The waterfall toy adds an engaging element for toddlers learning cause and effect. | Affordable and sturdy, with two compartments for sand and water, promoting sensory play. The waterfall toy adds an engaging element for toddlers learning cause and effect.",26,consolidating,At 24 months children use switches and buttons; by 30 months they follow two-step instructions and solve simple problems.,,,61474530-0e58-4a70-8bab-48d4071bdcfa,e7861d0f-7f1a-4cf3-a185-64aaf801805a,4ce479dd-39be-44f6-84d9-a4cf0bf20832,a1c2ba14-8e60-4229-86cf-bd46cb7510c3
25-27m,25–27 months,25,27,true,independence-and-practical-life-skills,Do it myself,5,true,independence-and-practical-life-skills,Independence and practical life skills,"Wanting to help with everyday tasks, feeding self with utensils, and participating in self-care routines.",tea-sets-tableware,Tea sets and tableware,Tea sets and tableware,2,Tea party play supports pretend scenarios and practical pouring/serving skills emerging at this age.,11 Piece Musical Tea Set - Rainbow Fairy,Floss & Rock,1,Tea party play supports pretend scenarios and practical pouring/serving skills emerging at this age. | Product note: Encourages imaginative play and social skills. | Encourages imaginative play and social skills.,26,emerging,"Strong increase in desire to participate in practical tasks around age two, aligned with 'Helper' developmental stage.",,,cc64d9e5-3a03-403d-8505-38cc95b569fa,ab5241db-ad6f-4f2f-9404-12b2d8d066a1,4da14924-7910-46aa-97c5-757c9adc5933,8ac54f35-9207-44f9-8c6d-7d6d1f4dafcf
25-27m,25–27 months,25,27,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,8,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,"Figuring out how things work, following simple instructions, and using tools or strategies to reach goals.",wooden-building-blocks,Wooden building blocks,Wooden building blocks,3,Block play supports spatial skills and becomes more complex around age 2 with intentional building.,John Lewis 100 Wooden Building Blocks,John Lewis,1,"Block play supports spatial skills and becomes more complex around age 2 with intentional building. | Product note: Helps develop fine motor skills, hand-to-eye coordination, imaginative play, and early knowledge of numbers, shapes, and colour recognition. Suitable from 18 months. | Helps develop fine motor skills, hand-to-eye coordination, imaginative play, and early knowledge of numbers, shapes, and colour recognition. Suitable from 18 months.",26,consolidating,At 24 months children use switches and buttons; by 30 months they follow two-step instructions and solve simple problems.,,,61474530-0e58-4a70-8bab-48d4071bdcfa,e7861d0f-7f1a-4cf3-a185-64aaf801805a,4fa0aa0f-55e4-42e3-b9c2-77f14658de0f,e9a45fbc-172c-4565-bcf7-e47656b217fe
